Exercise Name,Age Suitability,Goal,Primary Category,Body Region,Equipments,Fitness Level,Sets,Reps,RPE,Rest intervals,Health benefit,Steps to perform,Safety cue,MET value,is_not_suitable_for,Physical limitation,Tags
Bird Dog (Modified),40-59,Weight Gain,Activation/Mobility,Core,Bodyweight,Beginner,3,15-12,6-4,30-60 sec,Activates foot intrinsic muscles to support arch integrity,"1. Start on hands and knees with hands under shoulders and knees under hips.
2. Brace your core and extend your right arm forward and left leg back until they are level with your body.
3. Keep hips and shoulders square and maintain a neutral spine while holding.
4. Slowly return to hands and knees and repeat on the opposite side.",Lift the arch while keeping toes relaxed and weight evenly distributed between heel and toe,2.1,,Reduced core stability,
Knee to Chest (Single),60+,Weight Loss,Flexibility / Stretching,Core,Bodyweight,Beginner,3,15-10,6-4,30-60 sec,Enhances ankle mobility and dynamic balance during weight shifts,"1. Lie on your back with legs extended and arms relaxed at your sides.
2. Hug one knee to your chest using both hands behind the shin while keeping the other leg relaxed on the ground.
3. Hold briefly, then lower the leg back to the start position and switch sides.",Roll slowly from heel to toe with an upright spine and soft knees,4,,Lower back pain (non-specific),
Neck Extension (Isometric),All Ages,Weight Maintenance,Strength,Upper,Bodyweight,Beginner,3,12-8,7-5,30-60 sec,Develops core stability and coordinated spinal movement,"1. Sit or stand upright with shoulders relaxed and chin tucked slightly.
2. Place both hands on the back of your head and press your head backward into your hands without allowing movement.
3. Hold the tension for the set duration, then relax and release the pressure.",Brace your core and extend limbs slowly while keeping hips steady to avoid pelvic rotation,3,,Neck pain,Main workout
Seated Side Bend,40-59,Weight Gain,Flexibility / Stretching,Core,Bodyweight,Beginner,2,20-30 sec,5-3,30-60 sec,Improves hip mobility and gently lengthens lower back muscles,"1. Sit tall on the floor with legs crossed and hands resting at your sides.
2. Reach your right arm overhead and lean your torso to the left, keeping hips grounded.
3. Return to center and repeat on the opposite side.",Maintain controlled movement and proper alignment throughout,4,,Lumbar stiffness / restricted spinal mobility,
Cross-Body Arm Swing,60+,Weight Maintenance,Activation/Mobility,Upper,Bodyweight,Beginner,3,12-8,7-5,30-60 sec,Strengthens neck extensor muscles and supports head control,"1. Stand with feet hip-width apart and arms relaxed at your sides.
2. Swing your right arm across your body to the left while rotating your torso and letting the left arm swing back.
3. Continue alternating arms in a controlled rhythm.",Keep chin tucked and maintain a neutral spine,4,"Hypertension, Coronary Artery Disease",Rotator cuff weakness / instability,
Wall Walk (Front),All Ages,Weight Loss,Strength,Upper,Bodyweight,Beginner,3,15-12,6-4,30-60 sec,Enhances lateral trunk flexibility and mobility,"1. Start in a high plank with feet touching the wall and hands under your shoulders.
2. Walk your feet up the wall while simultaneously walking your hands closer to the wall.
3. Continue until your chest is near the wall or you reach a vertical position.
4. Reverse the movement by walking your hands back and lowering your feet to return to plank.",Anchor hips and hinge from the waist with a long spine,2,,Limited overhead reach,Main workout
Sidelying External Rotation,40-59,Weight Gain,Strength,Upper,Bodyweight,Beginner,2,20-1,5-3,15-30 sec,Promotes shoulder mobility and dynamic coordination,"1. Lie on your side with the top arm bent 90° at the elbow and the forearm resting against your abdomen.
2. Keep the elbow tucked to your side and rotate the forearm upward toward the ceiling while keeping the elbow fixed.
3. Pause briefly at the top, then slowly lower the forearm back to the start.
4. Repeat for the desired number of repetitions with controlled tempo.",Control arm speed and maintain tall posture with a braced core,2.8,,Rotator cuff weakness / instability,Main workout
Wrist Supination/Pronation,60+,Weight Maintenance,Activation/Mobility,Upper,Bodyweight,Beginner,3,6-4,9-7,90-180 sec,Builds shoulder and core strength while challenging balance,"1. Sit or stand with your elbows bent at 90° and forearms parallel to the floor, palms facing down.
2. Rotate both forearms to turn the palms upward (supination) while keeping the elbows stationary.
3. Rotate back to turn the palms downward (pronation) with controlled motion.
4. Continue alternating smoothly for the chosen repetitions.",Keep shoulders packed and move slowly with a neutral spine,6,,Wrist pain / limited wrist mobility,
Reverse Fly (Isometric),40-59,Weight Gain,Strength,Upper,Bodyweight,Beginner,3,15-20,5-3,30-45 sec,Improves forearm rotational control and wrist functional mobility,"1. Stand feet hip-width apart and hinge at the hips until your torso is nearly parallel to the floor.
2. Bend the elbows to about 90° and lift the upper arms out to the sides so they align with your shoulders.
3. Squeeze the shoulder blades together and hold the contracted position, keeping the neck neutral.
4. Maintain the isometric hold for the desired duration while breathing steadily.",Keep wrist neutral and rotate from the forearm with controlled tempo,4,,Poor posture (rounded shoulders / forward head),Main workout
Low Row (Doorway),60+,Weight Maintenance,Strength,Upper,Bodyweight,Beginner,3,12-8,7-5,60-90 sec,Promotes upper body strength while modifying wrist loading,"1. Stand facing a sturdy doorway and grasp the frame at waist height with both hands.
2. Walk your feet forward and lean back until your arms are straight and your body forms a plank angle.
3. Pull your chest toward the frame by bending your elbows and squeezing your shoulder blades together.
4. Slowly extend your arms and lean back to the starting position.",Press through the knuckles while keeping a neutral spine and stable scapulae,3.2,,Reduced core stability,Main workout
Full Body Roll (Supine),All Ages,Weight Loss,Activation/Mobility,Full,Bodyweight,Beginner,3,12-8,7-5,30-60 sec,Activates posterior shoulder muscles to support scapular control,"1. Lie on your back with your arms extended overhead and legs straight.
2. Tuck your chin and draw your knees toward your chest while reaching forward with your arms.
3. Roll your torso forward along your spine until you come up to a seated or prone position.
4. Reverse the motion in a controlled way to return to the supine start.",Maintain a soft bend in the elbows and squeeze the shoulder blades together,2.6,"Hypertension, Coronary Artery Disease",Thoracic stiffness (upper-back rigidity),
Prone Hamstring Curl,60+,Weight Maintenance,Strength,Lower,Bodyweight,Beginner,3,10-6,8-6,60-90 sec,Enhances spine mobility and full body coordination,"1. Lie face down with your legs straight and toes pointed.
2. Bend your knees to curl your heels toward your glutes while squeezing your hamstrings.
3. Hold the top briefly with control.
4. Slowly lower your feet back to the starting position.",Engage the core and articulate the spine slowly while breathing evenly,3,,Knee pain (general / chronic),Main workout
Lying Hip Rotations,40-59,Weight Gain,Activation/Mobility,Lower,Bodyweight,Beginner,3,15-10,7-5,60-90 sec,Strengthens hamstrings and improves knee flexion control,"1. Lie on your back with knees bent and feet flat on the floor.
2. Extend your arms out to the sides for stability.
3. Slowly lower both knees together to one side until you feel a gentle rotation in your hips.
4. Return your knees to center and repeat the movement to the other side.",Press your hips into the bench and curl the heel with controlled motion,2.6,,Hip stiffness / limited hip mobility,Warm up
Seated Heel Raise,60+,Weight Maintenance,Strength,Lower,Bodyweight,Beginner,3,15-12,6-4,30-60 sec,Strengthens gluteal muscles and supports functional hip extension,"1. Sit tall on a chair with feet hip-width apart and flat on the floor.
2. Press through the balls of your feet and lift your heels as high as possible.
3. Pause at the top, then lower your heels slowly back to the floor and repeat.",Hinge from the hip and keep the torso tall while using the support,2.5,,Foot pain (plantar fasciitis / heel pain),Main workout
Single Leg Stance (Eyes Open),All Ages,Weight Loss,Balance & Stability,Lower,Bodyweight,Beginner,3,12-10,5-3,15-30 sec,Improves hip mobility and rotational range of motion,"1. Stand tall with feet hip-width apart and gaze forward.
2. Shift your weight onto one foot and lift the opposite foot off the floor by bending the knee.
3. Keep the standing knee soft and your hips level while maintaining balance with eyes open.
4. Hold the position, then lower your foot and switch to the other leg.",Anchor your pelvis and rotate the knees slowly with steady breathing,2.1,,Limited single-leg balance,Main workout
Towel Scrunches (Seated),40-59,Weight Gain,Activation/Mobility,Lower,Bodyweight,Beginner,3,20-12,7-5,30-60 sec,Strengthens calf muscles and enhances ankle plantarflexion control,"1. Sit on a chair with feet flat and a towel spread under your toes.
2. Press your heels into the floor and curl your toes to scrunch the towel toward you.
3. Keep your heels planted and extend your toes to push the towel back out.
4. Repeat the scrunch-and-release motions with steady control.",Press through the balls of the feet and lift the heels with control,2.1,,Foot pain (plantar fasciitis / heel pain),
Dead Bug (Arms Only),All Ages,Weight Loss,Strength,Core,Bodyweight,Beginner,2,15-10,5-3,15-30 sec,Improves foot intrinsic strength and supports arch stability,"1. Lie on your back with knees bent and feet flat on the floor.
2. Extend both arms straight up toward the ceiling with palms facing each other.
3. Slowly lower one arm overhead toward the floor while keeping your ribs and hips still.
4. Return the arm to center and repeat with the other arm in a controlled rhythm.",Anchor the heel and curl the toes deliberately to pull the towel,4,,Reduced core stability,Main workout
Cat-Cow (Quadruped),40-59,Weight Gain,Activation/Mobility,Core,Bodyweight,Beginner,2,20-10,5-3,30-60 sec,Improves dynamic balance and gait coordination,"1. Come to hands and knees with wrists under shoulders and knees under hips.
2. Drop your belly, lift your chest and tailbone to arch the spine into cow.
3. Round your back, tuck your chin and tailbone to create a cat position; flow between both.",Take slow heel-to-toe steps and maintain an upright posture,3,,Lumbar stiffness / restricted spinal mobility,
Chin Tuck Head Lift,60+,Weight Maintenance,Activation/Mobility,Full,Bodyweight,Beginner,3,12-8,5-3,30-60 sec,Enhances deep core activation and trunk stability,"1. Lie on your back with knees bent and feet flat on the floor.
2. Tuck your chin gently toward your chest to lengthen the back of the neck.
3. Lift your head a few inches off the ground while keeping the chin tucked.
4. Lower your head slowly back down with control.",Press the low back into the floor and move the arms slowly with control,2.6,,Poor posture (rounded shoulders / forward head),
Quadruped Thread the Needle,All Ages,Weight Loss,Activation/Mobility,Core,Bodyweight,Beginner,2,12-8,4-2,15-30 sec,Promotes spinal mobility and gentle trunk flexibility,"1. Start on hands and knees with wrists under shoulders and knees under hips.
2. Reach one arm underneath the opposite arm and slide the shoulder and ear toward the floor.
3. Rotate your torso to open the chest while keeping hips facing the floor.
4. Return the arm to the starting position and repeat on the other side.","Move through full spinal flexion and extension with deep, steady breaths",2,,Thoracic stiffness (upper-back rigidity),
Sleeper Stretch,40-59,Weight Gain,Flexibility / Stretching,Upper,Bodyweight,Beginner,3,15-10,4-2,30-60 sec,Improves neck posture and strengthens neck stabilizing muscles,"1. Lie on your side with the bottom shoulder stacked and the bottom elbow bent to 90 degrees in front of you.
2. Use your top hand to gently press the bottom forearm down toward the floor until you feel a mild stretch in the back of the shoulder.
3. Keep hips and knees stacked and relax into the stretch, then release and switch sides.",Tuck your chin and lift the head while maintaining a neutral spine,4,,Limited shoulder range of motion,Cooldown
Table Slide (Lateral),60+,Weight Maintenance,Activation/Mobility,Upper,Bodyweight,Beginner,3,12-8,5-3,30-60 sec,Enhances thoracic rotation and shoulder mobility,"1. Stand beside a waist-high table with feet hip-width apart.
2. Place your nearest hand flat on the table at hip level.
3. Shift weight into the hand and slide it slowly sideways along the table while keeping your torso upright.
4. Reverse the slide back to the start and repeat controlled.",Rotate through the thoracic spine slowly while keeping the low back stable,2,"Chronic Low Back Pain, Osteoporosis",Limited shoulder range of motion,
Scapular Wall Set,All Ages,Weight Loss,Activation/Mobility,Upper,Bodyweight,Beginner,3,10-8,3-1,30-60 sec,Improves shoulder internal rotation and flexibility,"1. Stand with your back and head against a wall and feet a few inches away.
2. Bend your elbows slightly and let your arms rest by your sides or in a goalpost position.
3. Draw your shoulder blades down and together without shrugging or bending your elbows.
4. Hold the squeeze briefly then relax and repeat.",Anchor the shoulder blade and rotate the arm with controlled motion,4,,Poor posture (rounded shoulders / forward head),
Bicep Stretch (Wall),40-59,Weight Gain,Flexibility / Stretching,Upper,Bodyweight,Beginner,3,15-10,4-2,30-45 sec,Promotes lateral shoulder mobility and controlled scapular movement,"1. Stand perpendicular to a wall and place your palm and inner forearm flat on the wall at shoulder height.
2. Keep the arm straight and slowly rotate your chest away from the wall.
3. Stop when you feel a gentle stretch in the front of your upper arm.
4. Hold briefly then return to the starting position and repeat on the other side.",Slide the arm laterally with the elbow close and avoid shrugging the shoulder,4,,Limited shoulder range of motion,Cooldown
Wrist Deviation (Radial/Ulnar),60+,Weight Maintenance,Activation/Mobility,Upper,Bodyweight,Beginner,3,15-10,4-2,30-60 sec,Enhances scapular control and supports upright posture,"1. Sit with your forearm supported on a flat surface and your hand hanging off the edge, palm neutral.
2. Keep the forearm still and move the wrist slowly toward the thumb side (radial deviation).
3. Reverse the motion and move the wrist toward the little-finger side (ulnar deviation), then repeat.",Press your shoulder blades gently into the wall while keeping your ribs down,4,,Wrist pain / limited wrist mobility,
Prone Y Raise (Modified),40-59,Weight Gain,Strength,Upper,Bodyweight,Beginner,3,15-12,4-2,15-45 sec,Improves wrist mobility and range of motion,"1. Lie face down with your forehead on folded hands and arms extended overhead in a Y, thumbs pointing up.
2. Lift both arms a few inches off the floor by squeezing the shoulder blades together and keeping the thumbs up.
3. Lower the arms slowly to the floor and repeat.",Move the wrist slowly through a comfortable range while keeping the forearm supported,4,,Limited overhead reach,Main workout
Mini Squat (Chair Support),All Ages,Weight Loss,Strength,Lower,Bodyweight,Beginner,3,12-8,6-4,60-90 sec,Strengthens upper back and shoulder stabilizers,"1. Stand in front of a chair with feet hip-width apart and toes slightly turned out.
2. Bend at the hips and knees to lower into a shallow squat while keeping weight over the heels.
3. Lightly touch the seat with your butt or hover just above it without fully sitting down.
4. Press through the heels to stand tall and repeat.","Hinge at the hips, keep the neck neutral, and lift using your shoulder blades",2.8,,Knee pain (general / chronic),Main workout
Side Lying Clam,40-59,Weight Gain,Strength,Lower,Bodyweight,Beginner,3,30-60,5-3,30-60 sec,Promotes cardiovascular activity and improves balance and coordination,"1. Lie on your side with hips stacked and knees bent at about 45 degrees.
2. Rest your head on your arm and bring your heels together.
3. Keeping feet touching, lift the top knee toward the ceiling by opening the hip.
4. Lower the knee with control and repeat.","Stand tall, engage your core, and march with controlled breaths",4,,Hip stiffness / limited hip mobility,Main workout
Seated Butterfly,All Ages,Weight Loss,Flexibility / Stretching,Lower,Bodyweight,Beginner,3,15-12,7-5,45-60 sec,Strengthens hip external rotators and glute muscles for improved lateral stability,"1. Sit tall on the floor with the soles of your feet together and knees dropping outward.
2. Hold your feet or ankles and draw your heels toward your groin.
3. Press your knees gently toward the floor using your elbows.
4. Lean forward slightly from the hips while keeping a straight back.",Keep hips stacked and core braced as you open the knee,2.1,,Hip stiffness / limited hip mobility,
Side Leg Raise (Standing Support),40-59,Weight Gain,Activation/Mobility,Lower,Bodyweight,Beginner,3,20-30,5-3,30-60 sec,Challenges static balance and enhances postural control in narrow stance,"1. Stand tall beside a stable support and place one hand lightly on it for balance.
2. Shift your weight onto the standing leg and engage your core.
3. Lift the outside leg straight out to the side to hip height with toes pointing forward.
4. Lower the leg slowly with control and repeat, then switch sides.","Keep hips level, soften the knees, and focus your gaze forward",4,Sarcopenia,Limited single-leg balance,
Pelvic Tilt (Standing),60+,Weight Maintenance,Activation/Mobility,Core,Bodyweight,Beginner,2,20-30,4-2,30-60 sec,Promotes calf flexibility and ankle dorsiflexion for improved walking mechanics,"1. Stand with feet hip-width apart and knees slightly bent.
2. Draw your belly button toward your spine and tuck your tailbone to flatten the lower back.
3. Hold the tilt for 2-3 seconds while breathing normally.
4. Release to a neutral spine and repeat.",Press the back heel down and keep the back leg straight for a steady stretch,4,,Lower back pain (non-specific),
Neck Side Bend (Active),40-59,Weight Gain,Flexibility / Stretching,Upper,Bodyweight,Beginner,3,15-10,5-3,30-60 sec,Activates deep abdominal muscles to enhance pelvic alignment and core stability,"1. Sit or stand tall with shoulders relaxed.
2. Tilt your right ear toward your right shoulder using only your neck muscles.
3. Apply gentle pressure with your right hand if you need more range.
4. Return to center and repeat on the left side.",Tuck the pelvis by engaging the core and avoid overarching the lower back,4,,Neck pain,
Seated T-Spine Rotation,60+,Weight Maintenance,Activation/Mobility,Core,Bodyweight,Beginner,2,20-30,3-1,30-60 sec,Encourages gentle spinal elongation and relaxation while stretching the hips and back,"1. Sit on a chair with feet flat and hands behind your head.
2. Keep your hips facing forward and rotate your chest to the right using your thoracic spine.
3. Pause at the end range while maintaining an upright posture.
4. Return to center and repeat to the left.",Reach the hips back toward the heels and breathe while maintaining a long spine,4,,Thoracic stiffness (upper-back rigidity),Warm up
Arm Circles (Small),40-59,Weight Gain,Activation/Mobility,Upper,Bodyweight,Beginner,2,10-8,5-3,30-60 sec,Enhances thoracic mobility and rotational range of motion,"1. Stand tall with feet hip-width apart and arms extended to the sides at shoulder height.
2. Keep a soft bend in the elbows and make small controlled circles forward using only your shoulders.
3. Continue for the chosen count then reverse the direction.
4. Keep your core engaged and breathe steadily.",Sit tall and rotate from the mid back with control,2.38,,Rotator cuff weakness / instability,
Internal Rotation (Isometric),60+,Weight Maintenance,Activation/Mobility,Upper,Bodyweight,Beginner,3,12-8,6-4,45-60 sec,Improves shoulder elevation strength and upper trapezius engagement,"1. Stand sideways next to a wall with the elbow bent at 90° and the upper arm at your side.
2. Place your palm or forearm against the wall and press inward without moving the elbow.
3. Hold the press for 10-20 seconds while maintaining steady tension.
4. Relax and repeat on the other side if needed.",Lift straight up and lower slowly without shrugging the neck,4,,Rotator cuff weakness / instability,Warm up
Plank on Knuckles (Knees),40-59,Weight Gain,Strength,Core,Bodyweight,Beginner,3,20-10,6-4,30-60 sec,Builds internal shoulder stability and rotator cuff endurance,"1. Kneel and make fists, placing your knuckles flat on the floor under your shoulders.
2. Lift your torso so your body forms a straight line from shoulders to knees.
3. Brace your core and squeeze your glutes while breathing evenly.
4. Hold for the chosen duration then lower your knees to rest.",Keep elbow pinned to your side and press inward without shrugging,2.13,"Hypertension, Coronary Artery Disease",Reduced core stability,Main workout
Scaption (Wall Slide),All Ages,Weight Loss,Activation/Mobility,Upper,Bodyweight,Beginner,3,20-30,7-5,60-90 sec,Builds core strength and promotes shoulder and spinal stability,"1. Stand with your back against a wall and feet hip-width apart.
2. Place your arms against the wall in a ""V"" at about 30-45 degrees with elbows bent.
3. Slowly slide your arms upward along the wall until they are overhead or as high as you can while keeping contact.
4. Pause, then slowly slide your arms back down to the starting position.",Maintain a straight line from head to knees and brace the core,2.2,"Hypertension, Coronary Artery Disease",Limited shoulder range of motion,
Terminal Knee Extension (Seated),60+,Weight Maintenance,Activation/Mobility,Lower,Bodyweight,Beginner,3,15-10,5-3,30-60 sec,Improves scapular control and functional shoulder elevation,"1. Sit upright on a chair with feet flat and knees at about 90 degrees.
2. Press your heel into the floor and tighten the quadriceps to attempt to straighten the knee a few degrees without lifting the foot.
3. Hold the slight extension for a short count while keeping the thigh engaged.
4. Slowly relax the muscle and return to the starting relaxed position.",Keep forearms against the wall and slide in the scapular plane without shrugging,2.8,,Knee injury (ACL / meniscus / post-surgery),
Wall Sit (High Angle),All Ages,Weight Loss,Strength,Lower,Bodyweight,Beginner,3,30-60,5-3,30-60 sec,Increases low-intensity cardiovascular activity and lateral movement coordination,"1. Stand with your back against a wall and feet hip-width apart a short distance from the wall.
2. Slide your back down the wall until your knees form a high-angle bend (less than a deep squat) with hips and shoulders touching the wall.
3. Hold the position with core engaged and weight through your heels.
4. Press through your heels and slide up the wall to return to standing.","Step with control, keep chest up and avoid letting the knees collapse inward",3,,Knee pain (general / chronic),Main workout
Standing Hip Abduction (Isometric),40-59,Weight Gain,Activation/Mobility,Lower,Bodyweight,Beginner,3,15-12,6-4,30-60 sec,Strengthens quadriceps and improves knee joint control,"1. Stand tall near a wall or chair for balance.
2. Shift weight onto the supporting leg and lift the other leg slightly to the side with the knee straight.
3. Press the lifted leg outward into your hand or imagined resistance without letting the leg move.
4. Hold the press while keeping hips level and breathing steadily.",Keep the thigh stable and extend the knee with slow controlled motion,4,,Limited single-leg balance,
Seated Foot Taps,All Ages,Weight Loss,Activation/Mobility,Lower,Bodyweight,Beginner,3,12-8,6-4,30-60 sec,Enhances lateral hip strength and pelvic stability,"1. Sit upright on a chair with feet flat and knees at 90 degrees.
2. Lift one forefoot to tap the floor a short distance forward, then return that foot to flat.
3. Alternate feet in a steady rhythm while keeping your torso still.",Keep hips level and abduct the leg without leaning your torso,2.6,"Hypertension, Coronary Artery Disease",Ankle pain,
Toe Spreads (Seated),60+,Weight Maintenance,Activation/Mobility,Lower,Bodyweight,Beginner,2,20-30,4-2,30-45 sec,Promotes ankle mobility and lower limb coordination,"1. Sit with feet flat and knees at 90 degrees.
2. Lift your toes while keeping your heels pressed down and spread your toes as wide as possible.
3. Hold the spread briefly, then relax your toes and repeat.",Brace your core and tap the foot deliberately without bouncing,2.2,,Foot pain (plantar fasciitis / heel pain),
Tandem Walk (Wall Support),All Ages,Weight Loss,Balance & Stability,Lower,Bodyweight,Beginner,3,12-8,6-3,30-60 sec,Develops single leg balance and proprioceptive awareness,"1. Stand tall with one hand lightly on a wall and place one foot directly in front of the other heel-to-toe.
2. Shift weight onto the front foot in a controlled manner while keeping your gaze forward and the supporting hand on the wall.
3. Bring the back foot forward to meet the front foot while maintaining upright posture.
4. Repeat heel-to-toe steps, alternating the leading foot each time.",Keep the standing knee slightly bent and control each touch to the wall,4,,Limited single-leg balance,Main workout
Bird-Dog (Arm/Leg Slide),40-59,Weight Gain,Balance & Stability,Core,Bodyweight,Beginner,3,15-20,3-1,20-45 sec,Strengthens intrinsic foot muscles and improves toe dexterity,"1. Begin on hands and knees with hands under shoulders and knees under hips.
2. Slide your right arm straight forward along the floor while sliding your left leg straight back, keeping hips level.
3. Hold the extended position briefly with core engaged.
4. Slide both limbs back to the start and repeat on the opposite side.",Keep the heel grounded and actively spread the toes while maintaining a neutral ankle,4,,Reduced core stability,Main workout
Pendulum Swing (Front/Back),60+,Weight Maintenance,Activation/Mobility,Lower,Bodyweight,Beginner,3,15-10,4-2,30-60 sec,Improves cervical posture and head alignment,"1. Stand beside a stable surface and place one hand lightly on it for balance.
2. Shift weight onto the supporting leg and hinge slightly at the hip.
3. Swing the free leg forward and then backward in a controlled pendulum motion while keeping your torso still.",Retract chin and glide the head straight back while keeping shoulders relaxed,4,,Hip stiffness / limited hip mobility,
Table Top Slide (Abduction),All Ages,Weight Loss,Activation/Mobility,Lower,Bodyweight,Beginner,3,12-8,4-2,30-60 sec,Enhances thoracic spine mobility and rotational range,"1. Get on hands and knees in a tabletop position with shoulders over wrists and hips over knees.
2. Brace your core and keep your spine neutral.
3. Slide the right knee out to the side along the floor while keeping the foot in contact, then slide it back.
4. Repeat for desired reps and then switch to the left leg.",Hinge at the hips and rotate your chest while keeping the pelvis square,2.3,,Hip stiffness / limited hip mobility,
Side Step (Low Impact),60+,Weight Maintenance,Cardio,Lower,Bodyweight,Beginner,3,20-30,6-4,45-60 sec,Strengthens core stability and improves trunk endurance,"1. Stand tall with feet hip-width apart and a slight bend in the knees.
2. Step the right foot out to the side while keeping your weight centered.
3. Bring the left foot to meet the right with a controlled movement and maintain a soft knee bend.
4. Continue stepping side to side at a steady, low-impact pace.",Maintain controlled movement and proper alignment throughout,2.5,"Hypertension, Coronary Artery Disease",Limited single-leg balance,
Quad Set (Supine),40-59,Weight Gain,Activation/Mobility,Lower,Bodyweight,Beginner,3,20-30,6-4,30-60 sec,Improves lateral mobility and supports balance with low joint stress,"1. Lie on your back with legs extended and toes relaxed.
2. Tighten one thigh muscle and press the back of that knee gently toward the floor.
3. Hold the contraction for 5-10 seconds, relax, and repeat on the other leg.",Take controlled side steps with knees slightly bent and weight centered over your feet,2.6,,Knee injury (ACL / meniscus / post-surgery),
90/90 Hip Stretch (Seated),40-59,Weight Gain,Flexibility / Stretching,Lower,Bodyweight,Beginner,3,12-8,6-4,60-90 sec,Strengthens gluteal muscles and promotes hip extension control,"1. Sit with one leg in front and the other to the side, both knees bent at 90 degrees.
2. Square your hips and keep your torso upright.
3. Lean forward over the front shin to deepen the front hip stretch.
4. Rotate your torso and lean over the back leg to mobilize the rear hip, then switch sides.",Maintain controlled movement and proper alignment throughout,2.3,,Hip stiffness / limited hip mobility,Cooldown
Ankle Circles (Supine),60+,Weight Maintenance,Activation/Mobility,Lower,Bodyweight,Beginner,3,15-10,5-3,30-60 sec,Builds hip abductor strength and improves pelvic stability,"1. Lie on your back and lift one foot off the ground.
2. Point the toes and slowly trace large circles with your ankle in a controlled motion.
3. Reverse the direction of the circles and repeat with the other ankle.",Keep hips stacked and avoid rotating the torso as you lift the top leg,4,,Ankle pain,
Seated Plantar Fascia Stretch,40-59,Weight Gain,Flexibility / Stretching,Lower,Bodyweight,Beginner,2,20-10,3-1,15-30 sec,Promotes ankle mobility and enhances proprioceptive awareness,"1. Sit and cross one foot over the opposite knee.
2. Grasp the toes and gently pull them back toward your shin until you feel a stretch along the arch.
3. Hold briefly, release, and repeat on the other foot.",Move only the foot from the ankle joint and control the motion throughout,4,,Foot pain (plantar fasciitis / heel pain),Cooldown
Heel-Toe Walk (Line),60+,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Beginner,3,8-6,5-3,30-60 sec,Improves single leg stability and neuromuscular balance control,"1. Stand upright with feet together and eyes focused ahead.
2. Place the heel of one foot directly in front of the toes of the other on an imaginary line.
3. Walk forward slowly, placing each foot heel-to-toe and keeping steady balance.
4. Keep arms relaxed at your sides or extended for balance and continue with controlled steps.",Keep a soft bend in the standing knee and maintain an upright posture,4,Sarcopenia,Limited single-leg balance,Main workout
Modified Curl Up,All Ages,Weight Loss,Strength,Core,Bodyweight,Beginner,2,8-6,3-1,30-60 sec,Improves plantar fascia flexibility and supports foot mobility,"1. Lie on your back with one knee bent and the other leg extended straight.
2. Place your hands lightly behind your head or across your chest and keep your neck neutral.
3. Exhale and lift only your head, neck, and shoulder blades a few inches off the floor.
4. Inhale and slowly lower back down with control.",Pull the toes toward the shin and keep the foot aligned with a relaxed ankle,2,,Lower back pain (non-specific),Main workout
Child's Pose (Supported),40-59,Weight Gain,Flexibility / Stretching,Core,Bodyweight,Beginner,2,20-30,5-3,30-60 sec,Enhances gait coordination and challenges dynamic balance while walking,"1. Kneel with big toes touching and knees spread comfortably apart.
2. Fold forward and lower your torso onto your thighs while stretching your arms forward or alongside your body.
3. Rest your forehead or chest on the floor and remain in the position while relaxing your muscles.",Take small controlled steps and place each foot heel to toe while staying upright,3,,Knee pain (general / chronic),
Scapular Retraction (Prone),40-59,Weight Gain,Activation/Mobility,Upper,Bodyweight,Beginner,3,10-8,3-1,15-30 sec,Improves upper trapezius flexibility and neck range of motion,"1. Lie face down on a mat with forehead resting and arms by your sides, palms down.
2. Keep your neck neutral and squeeze your shoulder blades together without shrugging.
3. Lift only your chest slightly by letting the shoulder blades retract, keeping arms relaxed.
4. Hold briefly and then relax back to the start.",Keep shoulder down and spine long while tilting the head toward the opposite shoulder,4,,Rotator cuff weakness / instability,
Wall Walk (Lateral),60+,Weight Maintenance,Activation/Mobility,Full,Bodyweight,Beginner,3,12-8,4-2,30-45 sec,Enhances thoracic mobility and spinal rotation control,"1. Stand side-on to a wall and place your closest hand on the wall at shoulder height.
2. Step the far foot away from the wall and push your hips out so your body forms a diagonal.
3. Move the hand laterally along the wall while stepping the feet sideways to follow.
4. Continue walking sideways for the desired distance, then reverse to return.",Keep hips stable and rotate through the thoracic spine with control,3,,Limited overhead reach,
Scaption (No Weight),All Ages,Weight Loss,Activation/Mobility,Upper,Bodyweight,Beginner,3,15-10,5-3,30-60 sec,Strengthens scapular stabilizers and improves posterior shoulder alignment,"1. Stand tall with feet hip-width and arms by your sides, thumbs pointing forward.
2. Raise both arms in the scapular plane about 30-45° from your body up to shoulder height.
3. Lower your arms slowly back to the start with control.",Squeeze the shoulder blades together without shrugging the shoulders,2.5,,Limited shoulder range of motion,
Towel Squeeze (Grip),40-59,Weight Gain,Strength,Upper,Bodyweight,Beginner,3,8-6,6-4,60-90 sec,Builds shoulder mobility and active upper extremity coordination,"1. Hold a rolled towel lengthwise in one hand.
2. Squeeze the towel as hard as possible with your fingers and thumb.
3. Hold the squeeze for 5-10 seconds.
4. Release slowly and repeat before switching hands.",Maintain controlled movement and proper alignment throughout,4,,Wrist pain / limited wrist mobility,Main workout
