,Exercise Name,Age Suitability,Goal,Primary Category,Body Region,Equipments,Fitness Level,Physical limitations,Sets,Reps,RPE,Rest intervals,Health benefit,Steps to perform,Safety cue,MET value
28,Standing Calf Stretch (Wall Lean),60+,Weight Maintenance,Flexibility / Stretching,Lower,Bodyweight,Beginner,Thoracic stiffness (upper-back rigidity),2,20–30,6–7,30–45 sec,Improves ankle dorsiflexion and calf flexibility,"1. Stand facing a wall and place both hands on the wall at shoulder height.
2. Step one foot back with the heel flat and keep the back leg straight.
3. Lean into the wall until you feel a stretch in the calf of the back leg.",Maintain controlled movement and proper alignment throughout,2
29,Sitting Cross-Legged (Upright),60+,Weight Maintenance,Mobility,Lower,Bodyweight,Beginner,Thoracic stiffness (upper-back rigidity),2,30–60,6–7,30–45 sec,Supports hip external rotation and promotes upright posture,"1. Sit on the floor with legs crossed and sit bones grounded.
2. Sit tall and lengthen your spine from tailbone to crown.
3. Rest your hands on your knees and relax your shoulders while keeping an upright posture.","Sit tall with a neutral spine, relax the shoulders and breathe steadily",2
30,Standing Chest Expansion,60+,Weight Maintenance,Flexibility / Stretching,Upper,Bodyweight,Beginner,Thoracic stiffness (upper-back rigidity),2,10–12,6–7,30–45 sec,Opens the chest and encourages improved thoracic posture,"1. Stand tall with feet hip-width apart and arms by your sides.
2. Clasp your hands behind your back and straighten your arms.
3. Lift the clasp slightly and draw your shoulder blades together to open the chest.",Draw the shoulder blades together and lengthen the spine while keeping the chin neutral,2.5
31,Shoulder Rolls,60+,Weight Maintenance,Mobility,Upper,Bodyweight,Beginner,Thoracic stiffness (upper-back rigidity),2,10–15,6–7,15–30 sec,Improves shoulder mobility and releases upper back tension,"1. Stand tall with feet hip-width and arms relaxed at your sides.
2. Lift both shoulders toward your ears in a controlled motion.
3. Roll shoulders back and down in a smooth circular movement.",Roll shoulders in slow controlled circles keeping the neck relaxed,2.3
32,Bear Crawls (Slow),40–59,Weight Maintenance,Strength,Full,Bodyweight,Intermediate,Thoracic stiffness (upper-back rigidity),3,10–20,7–8,45–60 sec,Builds full body coordination and core stability,"1. Start on hands and knees and lift knees a few inches off the ground.
2. Step your right hand and left foot forward, then bring your left hand and right foot forward.
3. Keep hips low and core tight while moving slowly and deliberately.
4. Maintain a steady, controlled crawl for the desired distance or time.",Maintain a braced core and neutral spine while moving slowly,5
33,Jumping Jacks (Arms to top),60+,Weight loss,Cardio,Full,Bodyweight,Intermediate,Thoracic stiffness (upper-back rigidity),3,20–30,7–8,30–45 sec,Elevates heart rate while improving whole body coordination,"1. Stand with feet together and arms at your sides.
2. Jump feet wide while raising both arms straight overhead to touch or clap.
3. Land softly with knees slightly bent and return to the start position.",Land softly with knees slightly bent and control arms overhead,7
34,Standing Forward Fold (Flat Back),60+,Weight Maintenance,Flexibility / Stretching,Lower,Bodyweight,Beginner,Thoracic stiffness (upper-back rigidity),2,10–15,6–7,15–30 sec,Stretches hamstrings and promotes spinal lengthening,"1. Stand with feet hip-width and hinge at the hips.
2. Slide hands down your legs keeping your back long and flat.
3. Stop when your torso is parallel to the floor and hold the flat-back position.",Hinge from the hips keeping a flat back and soft knees,2
35,Bicycle Crunches (Full Twist),All Ages,Weight loss,Strength,Core,Bodyweight,Intermediate,Thoracic stiffness (upper-back rigidity),3,12–20,7–8,30–45 sec,Enhances rotational core strength and abdominal endurance,"1. Lie on your back with hands behind your head and legs lifted and bent.
2. Lift shoulders and bring your right elbow toward your left knee while extending the right leg.
3. Switch sides by bringing your left elbow toward your right knee in a full twisting motion.
4. Continue alternating in a controlled, cycling rhythm.",Keep your lower back pressed to the floor and rotate from the torso with control,5.5
36,Mountain Climbers (Running),All Ages,Weight loss,Cardio,Full,Bodyweight,Advanced,Thoracic stiffness (upper-back rigidity),3,20–30,8–9,45–60 sec,Boosts cardiovascular fitness while engaging core and hip flexors,"1. Start in a high plank with hands under shoulders.
2. Drive one knee toward your chest, then quickly switch legs as if running.
3. Keep hips low and maintain a steady, rapid pace.",Hold a strong plank with hips low and drive knees toward the chest under control,8.5
37,Spiderman Pushups,40–59,Weight gain,Strength,Full,Bodyweight,Advanced,Thoracic stiffness (upper-back rigidity),3,6–10,8–9,60–90 sec,Improves upper body strength while increasing thoracic mobility,"1. Start in a high plank with hands under shoulders.
2. Lower your chest toward the floor while bringing your right knee to your right elbow.
3. Push back up to plank and return the right leg.
4. Repeat lowering with the left knee to the left elbow on the next rep.",Keep shoulders stacked over wrists and core tight as you bring knee toward elbow,6.5
38,Pike Pushups,40–59,Weight gain,Strength,Upper,Bodyweight,Advanced,Thoracic stiffness (upper-back rigidity),3,6–10,8–9,60–90 sec,Targets shoulder strength and overhead pressing mechanics,"1. Start in a pike position with hips high and hands shoulder-width.
2. Bend elbows and lower your head toward the floor while keeping hips elevated.
3. Push through your hands to straighten arms and return to the pike position.",Keep hips high and neck neutral as elbows track back in a controlled descent,5.5
39,Inchworms (Full Extension),All Ages,Weight Maintenance,Mobility,Full,Bodyweight,Intermediate,Thoracic stiffness (upper-back rigidity),3,8–12,6–7,30–45 sec,Enhances hamstring flexibility and activates core and shoulder stabilizers,"1. Stand tall and hinge forward to place hands on the floor.
2. Walk hands forward until you reach a full plank position.
3. Keep legs as straight as possible and hold the full extension.
4. Walk hands back toward your feet and stand up to repeat.",Maintain controlled movement and proper alignment throughout,3.8
40,Reverse Lunges with Rotation,40–59,Weight Maintenance,Balance & Stability,Full,Bodyweight,Intermediate,Thoracic stiffness (upper-back rigidity),3,8–12,7–8,60–90 sec,Develops single leg strength and improves trunk rotational control,"1. Stand tall and step your right foot back into a reverse lunge.
2. Rotate your torso toward the left (front) leg while keeping your core engaged.
3. Drive through the left heel to return to standing.
4. Repeat on the opposite side by stepping your left foot back.",Maintain controlled movement and proper alignment throughout,5
41,Side Plank with T-Rotation,All Ages,Weight gain,Strength,Core,Bodyweight,Intermediate,Thoracic stiffness (upper-back rigidity),3,8–12,6–8,30–45 sec,Enhances lateral core stability and rotational control,"1. Lie on your side and prop your body on your forearm under the shoulder.
2. Lift your hips to form a straight line from head to heels.
3. Rotate your torso and lift your top arm toward the ceiling to form a T.
4. Return to the side plank and repeat for the other side.",Keep hips stacked and core braced while rotating,3.5
42,Plank Jacks,40–59,Weight loss,Cardio,Core,Bodyweight,Intermediate,Thoracic stiffness (upper-back rigidity),3,15–20,6–8,30–45 sec,Boosts core endurance and increases dynamic hip and shoulder stability,"1. Start in a high plank with hands under shoulders and body straight.
2. Jump your feet out wide and then back together quickly like a jumping jack.
3. Maintain a steady core and a neutral spine throughout the movement.",Keep a neutral spine and avoid letting hips drop,6
43,Speed Skaters,40–59,Weight loss,Cardio,Full,Bodyweight,Advanced,Thoracic stiffness (upper-back rigidity),3,12–16,7–8,45–60 sec,Improves lateral power balance and agility,"1. Stand in a slight squat and shift weight onto one leg.
2. Leap laterally to the other leg, landing softly on the outside foot.
3. Swing the opposite arm across your body and repeat the motion side to side.",Land softly with knees bent and chest up,6
44,Jump Squats (Hands Behind Head),All Ages,Weight loss,Cardio,Lower,Bodyweight,Advanced,Thoracic stiffness (upper-back rigidity),3,8–10,7–9,60–90 sec,Develops explosive lower-body power and muscular endurance,"1. Stand feet shoulder-width and place hands behind your head.
2. Lower into a squat by pushing hips back and keeping chest up.
3. Explode upward into a jump while keeping hands behind your head.
4. Land softly and descend immediately into the next squat.",Keep chest lifted and land softly with knees tracking toes,6.5
45,Hanging Knee Raises,40–59,Weight gain,Strength,Core,Bodyweight,Advanced,Thoracic stiffness (upper-back rigidity),3,8–12,7–8,60–90 sec,Strengthens deep abdominal muscles and hip flexor coordination,"1. Grip a pull-up bar with hands shoulder-width and hang with arms extended.
2. Engage your core and bend your knees to lift them toward your chest.
3. Pause briefly at the top with control.
4. Slowly lower your legs back to the hanging start position.",Keep shoulders engaged and use core control to minimize swinging,4
46,V-Sits / V-Ups,40–59,Weight loss,Strength,Core,Bodyweight,Advanced,Thoracic stiffness (upper-back rigidity),3,10–15,7–8,45–60 sec,Increases core flexion strength and improves trunk stability,"1. Lie flat on your back with arms extended overhead and legs together.
2. Simultaneously lift your torso and legs to meet in a V, reaching hands toward toes.
3. Lower back down with control to the starting position.",Press the lower back into the floor and lift with controlled movement,4.5
47,Hollow Body Hold,All Ages,Weight Maintenance,Strength,Core,Bodyweight,Intermediate,Thoracic stiffness (upper-back rigidity),3,20–30,6–7,30–45 sec,Teaches full-body tension and enhances anterior core endurance,"1. Lie on your back and press your lower back into the floor.
2. Lift your shoulders and legs slightly off the ground and extend arms overhead.
3. Tilt your pelvis, pull ribs down, and hold the hollow shape steadily.",Keep lower back pressed to the floor and maintain steady breathing,3
48,Bulgarian Split Squats (Chest Up),40–59,Weight gain,Strength,Lower,Bodyweight,Intermediate,Thoracic stiffness (upper-back rigidity),3,8–10,7–9,90–120 sec,Builds unilateral leg strength and improves single-leg balance,"1. Stand a couple of feet in front of a bench and place the top of your back foot on the bench.
2. Keep your chest up and shoulders back with your front foot flat.
3. Bend your front knee to lower until the front thigh is near parallel to the floor.
4. Push through the front heel to return to the starting position.",Keep chest up and front knee aligned over your toes,5
49,Forward Lunges (Overhead Reach),All Ages,Weight Maintenance,Strength,Full,Bodyweight,Intermediate,Thoracic stiffness (upper-back rigidity),3,10–12,6–8,60–90 sec,Combines lower-body strength with overhead mobility and posture control,"1. Stand tall and reach both arms overhead with hands together.
2. Step forward with one foot and lower until the front knee is about 90 degrees.
3. Push through the front heel to return to standing and repeat on the other side.",Keep torso upright and brace your core as you reach overhead,4.5
50,Burpees (Modified),All Ages,Weight loss,Cardio,Full,Bodyweight,Intermediate,Thoracic stiffness (upper-back rigidity),3,8–12,7–8,60–90 sec,Raises cardiovascular fitness while offering scalable full-body conditioning options,"1. Stand with feet shoulder-width apart.
2. Squat and place hands on the floor, then step back one foot at a time into a plank.
3. Step your feet forward back to your hands and rise into a squat.
4. Stand up and reach your arms overhead to finish the rep.",Land softly and reset to a neutral spine between reps,6
51,Donkey Kicks (High),40–59,Weight gain,Strength,Lower,Bodyweight,Beginner,Thoracic stiffness (upper-back rigidity),3,12–15,6–7,30–45 sec,Enhances glute activation and hip extension strength,"1. Start on all fours with hands under shoulders and knees under hips.
2. Keep core tight and bend one knee to 90 degrees.
3. Drive the bent knee upward and back so the heel reaches toward the ceiling.
4. Lower the knee with control and repeat for reps, then switch sides.",Keep core braced and pelvis level as you drive the heel up,4
52,Frogger Jumps,All Ages,Weight loss,Cardio,Full,Bodyweight,Advanced,Thoracic stiffness (upper-back rigidity),3,8–10,7–8,60–90 sec,Improves explosive lower body power and agility,"1. Start in a high plank with hands under shoulders.
2. Jump both feet forward outside the hands into a low squat.
3. Immediately jump both feet back to plank.
4. Repeat the jump-forward and jump-back sequence quickly.",Land softly with knees slightly bent and chest lifted to absorb impact,7
53,Walking Lunge with Twist,All Ages,Weight Maintenance,Mobility,Full,Bodyweight,Intermediate,Thoracic stiffness (upper-back rigidity),3,10–12,6–8,60–90 sec,Develops leg strength while promoting core rotation stability,"1. Step forward with one foot into a deep lunge.
2. Lower the back knee toward the floor until both knees are bent about 90 degrees.
3. Twist your torso toward the front leg while keeping the hips square.
4. Push through the front heel to stand and step forward into the next lunge.",Step firmly with knee tracking over the toe and rotate from the torso,5.5
54,Box Step-Ups (Arms Overhead),40–59,Weight gain,Strength,Full,Bodyweight,Intermediate,Thoracic stiffness (upper-back rigidity),3,8–12,6–8,60–90 sec,Builds unilateral leg strength while challenging shoulder mobility and balance,"1. Stand facing a stable box or step with feet hip-width.
2. Step one foot onto the box and press through the heel while raising both arms overhead.
3. Bring the trailing foot up to stand tall on the box with arms extended.
4. Step down one foot at a time and repeat leading with the same leg or alternate.","Drive through the heel, keep chest tall and avoid leaning forward",6
55,Sprints,All Ages,Weight loss,Cardio,Full,Bodyweight,Advanced,Thoracic stiffness (upper-back rigidity),6,20–30,8–9,120–180 sec,Boosts anaerobic capacity and fast twitch muscle recruitment,"1. Start in an athletic stance with a slight forward lean.
2. Drive one knee and the opposite arm forward with explosive force.
3. Maintain quick, long strides and pump the arms to accelerate.","Maintain a tall posture, drive hips forward and breathe rhythmically",10
56,Butt Kicks (Running),All Ages,Weight loss,Cardio,Lower,Bodyweight,Intermediate,Thoracic stiffness (upper-back rigidity),3,30–45,6–7,30–60 sec,Encourages hamstring flexibility and improves running cadence,"1. Start running with a quick light stride.
2. Drive heels up toward your glutes on each stride.
3. Keep a fast cadence and pump your arms to maintain speed.","Stay upright, pull heels toward glutes with quick controlled steps",8
57,High Knees (Running),All Ages,Weight loss,Cardio,Full,Bodyweight,Intermediate,Thoracic stiffness (upper-back rigidity),3,30–45,7–8,45–60 sec,Raises heart rate and enhances hip flexor strength and coordination,"1. Start running in place with an upright posture.
2. Drive each knee up toward hip level on alternating legs.
3. Maintain a quick cadence and swing the opposite arm with each knee drive.",Lift knees to hip height with a tall spine and steady breathing,8.5
58,Surfer Pop-ups,40–59,Weight Maintenance,Balance & Stability,Full,Bodyweight,Intermediate,Thoracic stiffness (upper-back rigidity),3,8–12,7–8,60–90 sec,Combines core stability and dynamic balance for quick positional transitions,"1. Start in a low prone position or plank on your hands.
2. Push through your hands to bring one foot forward under your body, then the other, landing in a low crouch.
3. Stand or rebound lightly while keeping hands ready for the next pop-up.
4. Repeat the quick pop-up motion with controlled landings.",Use core tension to pop up and land softly with a neutral spine,6.5
59,Squat Jacks,40–59,Weight loss,Cardio,Lower,Bodyweight,Advanced,Thoracic stiffness (upper-back rigidity),3,12–15,7–8,45–60 sec,Increases lower body endurance while promoting cardiovascular fitness and coordination,"1. Start standing with feet together.
2. Jump feet wide and drop hips into a squat with knees tracking over toes.
3. Jump feet back together and return to a standing position.","Sit back into your hips, keep chest up and control the tempo",7
60,Crab Walk,40–59,Weight Maintenance,Strength,Full,Bodyweight,Intermediate,Thoracic stiffness (upper-back rigidity),3,20–30,6–7,30–60 sec,Strengthens posterior chain and shoulder stability while improving mobility,"1. Sit with feet flat and hands behind hips fingers pointing toward feet.
2. Press through hands and feet to lift hips until torso and thighs form a straight line.
3. Walk using hands and feet by moving one hand and the opposite foot, keeping hips elevated.
4. Continue moving forward or backward while maintaining the lifted position.","Keep hips elevated, engage the core and move with deliberate control",4.5
61,Single-Leg Romanian Deadlift,All Ages,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Intermediate,Thoracic stiffness (upper-back rigidity),3,8–12,7–8,60–90 sec,Improves single-leg balance and posterior chain strength,"1. Stand on one leg with the knee slightly bent and the other foot lifted behind you.
2. Hinge at the hips and lower your torso while reaching the lifted hand toward the standing shin.
3. Drive the hips forward and squeeze the glute to return to standing.
4. Repeat for reps and then switch legs.",Hinge at the hips keeping a neutral spine and soft knee,4.5
62,Plank with Shoulder Taps,40–59,Weight Maintenance,Strength,Core,Bodyweight,Intermediate,Thoracic stiffness (upper-back rigidity),3,16–24,6–7,30–45 sec,Enhances core stability while challenging shoulder coordination,"1. Start in a high plank with hands under shoulders and feet hip-width apart.
2. Brace the core and lift one hand to tap the opposite shoulder while minimizing hip rotation.
3. Return the hand to the floor and repeat on the other side.",Brace your core and minimize hip rotation with slow controlled taps,4.5
63,Lunge Pulses (Chest Up),All Ages,Weight gain,Strength,Lower,Bodyweight,Intermediate,Thoracic stiffness (upper-back rigidity),3,10–15,7–8,45–60 sec,Builds lower body muscular endurance and hip control,"1. Step forward into a lunge and position the front knee over the ankle with the chest up.
2. Pulse by lowering and rising a few inches while maintaining an upright chest.
3. Repeat pulses for the set then switch legs.",Keep chest up and front knee aligned over the ankle while pulsing,5
64,Leg Flutters,40–59,Weight loss,Strength,Core,Bodyweight,Intermediate,Thoracic stiffness (upper-back rigidity),3,30–45 seconds,6–7,30–45 sec,Improves lower abdominal endurance and hip flexor engagement,"1. Lie on your back with hands under your hips and legs extended a few inches off the floor.
2. Flutter the legs in a quick alternating up-and-down motion while keeping the core engaged.
3. Maintain steady breathing and control the movement for the set.",Maintain a neutral pelvis and breathe steadily to avoid low back arching,3.5
65,Skater Hops,40–59,Weight loss,Cardio,Lower,Bodyweight,Advanced,Thoracic stiffness (upper-back rigidity),3,10–15,7–8,60–90 sec,Develops lateral power and dynamic balance,"1. Stand on one foot with a slight bend in the knee and hinge the arms for momentum.
2. Leap laterally to the opposite foot, landing softly and absorbing impact with a bent knee.
3. Immediately push off the landing leg and repeat the lateral hop to the other side.",Land softly with knees slightly bent and hips square to absorb impact,8
66,Side-to-Side Floor Wipers,40–59,Weight Maintenance,Mobility,Core,Bodyweight,Advanced,Thoracic stiffness (upper-back rigidity),3,8–12,7–8,45–60 sec,Strengthens obliques and enhances spinal rotational control,"1. Lie on your back with legs extended up toward the ceiling and arms by your sides.
2. Lower both legs together toward one side while keeping the shoulders on the floor.
3. Return the legs to center and lower them to the other side in a controlled motion.",Stabilize your pelvis by engaging the core and move legs with control,5.5
67,Hindu Pushups,40–59,Weight gain,Strength,Upper,Bodyweight,Intermediate,Thoracic stiffness (upper-back rigidity),3,8–12,7–8,60–90 sec,Combines upper body strength with thoracic mobility,"1. Start in a downward dog position with hands shoulder-width and hips high.
2. Swoop your chest forward and lower your hips toward the floor into a low cobra.
3. Push back through your hands to return to downward dog.
4. Flow the movement smoothly and repeat.",Lead with the chest and maintain a long spine through the fluid arc,6
68,Handstand Hold (Wall),All Ages,Weight gain,Balance & Stability,Full,Bodyweight,Advanced,Thoracic stiffness (upper-back rigidity),3,20–45 seconds,7–8,90–120 sec,Improves shoulder endurance and proprioceptive balance,"1. Place your hands on the floor shoulder-width and face the wall a step away.
2. Kick up and place your heels against the wall to establish a vertical hold.
3. Press through the shoulders and align the body in a straight line from wrists to ankles.
4. Hold the position while maintaining steady breathing.",Press through your shoulders and keep ribs down to avoid sagging,4
69,Handstand Pushups,40–59,Weight gain,Strength,Upper,Bodyweight,Advanced,Thoracic stiffness (upper-back rigidity),3,3–6,8–9,120–180 sec,Builds overhead pressing strength and upper body stability,"1. Kick up into a wall-supported handstand with hands shoulder-width and feet against the wall.
2. Bend the elbows to lower the head toward the floor with control.
3. Press through the palms to extend the elbows and return to the top of the handstand.
4. Repeat the lowering and pressing motion for the set.",Maintain shoulder-over-wrist alignment and control the descent,7.5
70,Hanging Toes-to-Bar,40–59,Weight gain,Strength,Core,Bodyweight,Advanced,Thoracic stiffness (upper-back rigidity),3,6–10,7–8,90–120 sec,Enhances core strength and active hip flexion control,"1. Grip a pull-up bar with an overhand grip and hang with arms fully extended.
2. Engage the core and lift the legs by flexing the hips to bring the toes toward the bar.
3. Touch the bar with the toes or reach as high as possible.
4. Lower the legs back to a dead hang with control and repeat.",Engage the lats and core to control the swing and avoid excessive swinging,6.5
71,Full Burpees (with Jump),All Ages,Weight loss,Cardio,Full,Bodyweight,Advanced,Thoracic stiffness (upper-back rigidity),3,10–15,7–8,60–90 sec,Boosts full body conditioning and aerobic capacity,"1. Start standing with feet shoulder-width apart.
2. Lower into a squat and place hands on the floor.
3. Kick feet back into a plank, perform a push-up, then jump feet forward.
4. Explode upward into a vertical jump and land softly.",Brace your core and land each jump softly with knees tracking over toes,8
72,Tuck Jumps,All Ages,Weight loss,Cardio,Full,Bodyweight,Advanced,Thoracic stiffness (upper-back rigidity),3,8–10,7–9,90–120 sec,Improves explosive lower body power and vertical jump height,"1. Start standing with knees slightly bent.
2. Jump up forcefully and pull knees toward your chest.
3. Land softly on the balls of your feet and reset.",Pull your knees up with a tall chest and absorb the landing with bent knees,7
73,Box Jumps (High),40–59,Weight loss,Cardio,Full,Bodyweight,Advanced,Thoracic stiffness (upper-back rigidity),3,4–6,7–9,90–120 sec,Enhances lower limb power and reactive strength,"1. Start standing facing the box with feet hip-width apart.
2. Dip into a quick squat and swing arms back.
3. Explode upward and drive knees up to clear the box.
4. Land softly on the box with both feet and step down carefully.","Explode through the hips and land fully on the box with soft, bent knees",7
74,Dragon Flags,40–59,Weight gain,Strength,Core,Bodyweight,Advanced,Thoracic stiffness (upper-back rigidity),3,4–8,7–8,90–120 sec,Develops advanced core strength and eccentric control,"1. Start lying on a bench and grip the bench behind your head.
2. Raise your legs and hips to a straight vertical line.
3. Lower your body slowly while keeping the torso rigid and shoulders anchored.
4. Pause just above the bench and pull back to the vertical position.",Keep a rigid straight line from shoulders to hips and lower with slow controlled movement,5
75,Pistol Squats (Arms Forward),All Ages,Weight gain,Strength,Lower,Bodyweight,Advanced,Thoracic stiffness (upper-back rigidity),3,6–8,7–9,90–120 sec,Builds unilateral leg strength and balance,"1. Start standing on one leg with arms extended forward.
2. Push hips back and lower into a single-leg squat while keeping the free leg straight.
3. Descend slowly until the thigh is near parallel to the floor.
4. Drive through the heel to stand and extend the free leg forward.",Maintain controlled movement and proper alignment throughout,5.5
76,Sissy Squats,40–59,Weight gain,Strength,Lower,Bodyweight,Advanced,Thoracic stiffness (upper-back rigidity),3,8–12,6–8,60–90 sec,Targets quadriceps strength and knee mobility,"1. Start standing with feet hip-width and hands on hips or held forward.
2. Rise onto your toes and hinge back while bending the knees forward.
3. Lower knees forward until tension in the quads, then push through toes to return upright.",Maintain an upright torso and control the forward knee movement on the descent,4.5
77,Depth Jumps,40–59,Weight loss,Cardio,Lower,Bodyweight,Advanced,Thoracic stiffness (upper-back rigidity),3,4–6,7–9,120–180 sec,Improves reactive power and rate of force development,"1. Start standing on a box or elevated platform.
2. Step off and land softly on both feet with knees bent.
3. Absorb the landing briefly and then explode upward into a maximal jump.
4. Land softly and reset.",Step off under control and absorb the landing by sinking through hips and knees,7
78,Broad Jumps (Max Distance),All Ages,Weight loss,Cardio,Full,Bodyweight,Advanced,Thoracic stiffness (upper-back rigidity),3,4–6,7–9,90–120 sec,Increases horizontal explosive power and coordination,"1. Start in a partial squat with feet shoulder-width and arms back.
2. Swing arms forward and explode forward into a long horizontal jump.
3. Land with knees bent and absorb impact, then reset.",Drive through the hips and land softly with feet shoulder-width and knees bent,6.5
79,180-Degree Jump Squats,All Ages,Weight loss,Cardio,Full,Bodyweight,Advanced,Thoracic stiffness (upper-back rigidity),3,8–10,7–9,90–120 sec,Enhances rotational explosive power and dynamic agility,"1. Start in a squat stance with feet shoulder-width apart.
2. Dip into a quick squat and swing arms down and back.
3. Explode upward, rotate 180 degrees in the air, and spot the landing.
4. Land softly in a squat and maintain balance.",Maintain controlled movement and proper alignment throughout,7
80,Single-Leg Burpees,40–59,Weight loss,Cardio,Full,Bodyweight,Advanced,Thoracic stiffness (upper-back rigidity),3,6–8,8–9,120–180 sec,Combines unilateral strength work with conditioning and balance challenge,"1. Start standing on one leg with the other leg slightly off the ground.
2. Kick the free leg back and place both hands on the floor, landing in a single-leg plank.
3. Perform a quick push-up, then hop the foot forward under your chest.
4. Explode upward on the supporting leg into a jump and land softly.",Maintain controlled movement and proper alignment throughout,9
81,Power Skaters (Max Width),40–59,Weight loss,Cardio,Full,Bodyweight,Advanced,Thoracic stiffness (upper-back rigidity),3,8–12,7–9,60–90 sec,Develops lateral power and single-leg stability,"1. Start in an athletic stance with feet hip-width apart and knees soft.
2. Push off laterally and bound as wide as possible to land on one foot.
3. Swing the trail leg behind and lightly touch the floor for balance.
4. Explode laterally to the opposite side and repeat.",Land softly and absorb impact through hips and knees,7.5
82,Jumping Split Lunges,40–59,Weight loss,Cardio,Lower,Bodyweight,Intermediate,Thoracic stiffness (upper-back rigidity),3,8–10,7–9,60–90 sec,Builds explosive lower-body strength and dynamic balance,"1. Start in a staggered split stance with one foot forward.
2. Lower into a lunge until both knees form roughly 90-degree angles.
3. Explode upward and switch legs midair.
4. Land softly in a split stance and repeat.",Keep torso upright and control the descent with your front knee,8
83,L-Sits (Floor),40–59,Weight gain,Strength,Core,Bodyweight,Advanced,Thoracic stiffness (upper-back rigidity),3,10–20,6–8,60–90 sec,Strengthens core and hip flexors while improving seated posture,"1. Sit tall with legs straight and hands planted beside your hips.
2. Press into your hands and lift hips and legs until your body forms an L.
3. Hold the position and breathe steadily.","Press through palms, pull shoulders down and hold legs parallel to floor",3.5
84,Hollow Body Rocks,40–59,Weight Maintenance,Strength,Core,Bodyweight,Intermediate,Thoracic stiffness (upper-back rigidity),3,10–15,6–8,30–60 sec,Enhances core endurance and trunk stability,"1. Lie on your back with arms extended overhead and legs together.
2. Lift shoulders and legs off the ground into a hollow shape with lower back pressed.
3. Rock forward and backward using your core while maintaining the hollow position.",Keep lower back glued to the ground and breathe steadily,4
85,Russian Twists (Explosive),40–59,Weight gain,Strength,Core,Bodyweight,Intermediate,Thoracic stiffness (upper-back rigidity),3,12–20,7–9,30–60 sec,Develops rotational core power and oblique engagement,"1. Sit with knees bent and torso leaned back at about 45 degrees.
2. Hold a weight or clap hands and brace your core.
3. Twist explosively to one side, moving the hands quickly.
4. Reverse explosively to the other side and continue.",Rotate from the ribs with a braced core and control the return,5
86,Knee-to-Feet Jumps,40–59,Weight Maintenance,Strength,Full,Bodyweight,Intermediate,Thoracic stiffness (upper-back rigidity),3,6–8,7–9,60–90 sec,Improves vertical power and ankle responsiveness,"1. Start kneeling on both knees with chest upright.
2. Swing your arms and explode upward to land on your feet with knees slightly bent.
3. Absorb the landing softly and return to kneeling or reset for the next rep.",Land softly with knees slightly bent and hips back,7.5
87,Wall Climbs (Vertical),40–59,Weight gain,Strength,Full,Bodyweight,Advanced,Thoracic stiffness (upper-back rigidity),3,4–6,7–9,90–120 sec,Builds shoulder endurance and full-body coordination,"1. Stand facing the wall and place hands on the floor shoulder-width apart.
2. Walk your feet up the wall while walking your hands closer to the wall.
3. Continue until your body is vertical and arms are straight.
4. Walk your feet down and hands back out to return to standing.","Keep body tight, stack hips over shoulders and move deliberately",6.5
88,Handstand Walk,40–59,Weight gain,Strength,Full,Bodyweight,Advanced,Thoracic stiffness (upper-back rigidity),3,10–20,7–9,120–180 sec,Improves upper-body strength and dynamic balance,"1. Kick up into a freestanding or supported handstand with straight arms.
2. Shift weight to your fingers and stabilize your shoulders.
3. Take small hand steps forward while keeping the body aligned.
4. Stop by planting both hands and lowering your feet to the floor.",Maintain a straight line through shoulders hips and toes and move with control,7
89,Scissor Power Jumps,40–59,Weight loss,Cardio,Lower,Bodyweight,Intermediate,Thoracic stiffness (upper-back rigidity),3,8–12,7–9,60–90 sec,Increases hip extension power and plyometric coordination,"1. Start in an alternating split stance with one foot forward and one back.
2. Bend both knees and explode upward, switching leg positions midair like a scissor.
3. Land softly in the opposite split stance and repeat.","Drive through your front foot, keep chest up and control the landing",7
90,Explosive Lateral Bounds,40–59,Weight loss,Cardio,Full,Bodyweight,Advanced,Thoracic stiffness (upper-back rigidity),3,6–10,7–9,90–120 sec,Enhances lateral explosiveness and agility for quick directional changes,"1. Start in an athletic stance with knees bent and weight centered.
2. Push off one foot and bound laterally as far as possible, driving arms for momentum.
3. Land softly on the opposite foot with a bent knee and immediately bound back.",Push off aggressively but land softly with knees tracking over toes,7.5
91,Deck Squats,40–59,Weight gain,Mobility,Full,Bodyweight,Beginner,Thoracic stiffness (upper-back rigidity),3,8–12,7–8,60–90 sec,Develops lower body strength and safe controlled descent mechanics,"1. Stand with feet hip-width and toes slightly turned out.
2. Bend knees and push hips back while reaching hands toward the floor.
3. Sit back onto your heels and lower onto your upper back if needed.
4. Push through your heels and roll or drive up to return to standing.",Keep core braced and spine neutral as you lower and sit back,4.5
92,Hindu Squats,40–59,Weight gain,Strength,Lower,Bodyweight,Intermediate,Thoracic stiffness (upper-back rigidity),3,15–20,7–8,60–90 sec,Enhances quadriceps endurance and fluid hip and knee mobility,"1. Stand with feet shoulder-width and hands in front of your chest.
2. Bend knees and sink hips down while keeping chest upright.
3. Rise explosively onto the balls of your feet and extend knees.
4. Land softly with knees bent and continue the rhythmic motion.",Drive knees to track over toes and keep chest upright,6
