Exercise Name,Age Suitability,Goal,Primary Category,Body Region,Equipments,Fitness Level,Physical Limitations,Sets,Reps,RPE,Rest intervals,Health benefit,Steps to perform,Safety cue,MET value,is_not_suitable_for
Diamond Push-Ups (Wall),All Ages,Weight Gain,Strength,Upper,Bodyweight,Beginner,Lumbar stiffness / restricted spinal mobility,3,8–12,6–8,45–60 sec,Enhances triceps strength and shoulder stability,"1. Stand facing a wall and place hands in a diamond shape under your chest.
2. Step back so your body forms a straight line from head to heels.
3. Bend elbows and lower your chest toward the wall keeping elbows close.
4. Push through your palms to return to the start position.",Keep core braced and elbows tracking close to the ribs,2.5,None
Pendulum Legs,40-59,Weight Loss,Cardio,Lower,Bodyweight,Beginner,Lumbar stiffness / restricted spinal mobility,3,10–15,6–7,30–45 sec,Improves hip mobility and pelvic control,"1. Lie on your back with arms out to the sides and legs together.
2. Lift legs toward the ceiling as high as comfortable.
3. Lower legs to one side and smoothly swing them to the other side like a pendulum.","Control the swing with your core and hinge from the hips, not the lower back",2.8,None
Seated Hip Wipers,60+,Weight Maintenance,Mobility,Lower,Bodyweight,Beginner,Lumbar stiffness / restricted spinal mobility,3,12–15,6–7,30–45 sec,Increases core rotational mobility and oblique engagement,"1. Sit tall on a chair and hold the seat for support.
2. Lift both knees and bring shins parallel to the floor.
3. Rotate knees together from side to side like windshield wipers.",Keep shoulders grounded and move knees slowly using core control,2.3,None
Pigeon Pose (Elevated/Chair),All Ages,Weight Gain,Flexibility / Stretching,Lower,Bodyweight,Beginner,Lumbar stiffness / restricted spinal mobility,3,3–5,6–7,60–90 sec,Enhances hip external rotation and glute flexibility,"1. Sit sideways on a chair and place one ankle on the opposite knee.
2. Square your hips and sit tall with a long spine.
3. Hinge forward from the hips and lower your torso toward the front leg.
4. Hold the position.",Square the hips forward and maintain a long spine as you hinge from the hips,4,Hypertension
Star Balance (Static),40-59,Weight Loss,Balance & Stability,Full,Bodyweight,Beginner,Lumbar stiffness / restricted spinal mobility,3,6–8,7–8,45–60 sec,Improves single leg balance and whole body stability,"1. Stand tall and shift weight onto one foot.
2. Reach both arms out to the sides at shoulder height.
3. Extend the opposite leg straight out to the side or slightly back.
4. Hold the balanced position with a steady gaze.",Maintain a tall spine and focus on a fixed point to stabilize the stance,2,None
Reverse Snow Angels (Prone),60+,Weight Gain,Strength,Upper,Bodyweight,Beginner,Lumbar stiffness / restricted spinal mobility,3,10–15,6–8,45–60 sec,Promotes scapular mobility and posterior shoulder activation,"1. Lie face down with arms by your sides and palms facing the floor.
2. Lift your chest and arms a few inches off the ground while keeping your neck neutral.
3. Sweep your arms out to the sides and overhead toward your ears in a controlled arc.
4. Return your arms to your sides slowly.","Keep the forehead anchored and move the shoulders slowly, initiating from the scapulae",3,None
Punching Up (Standing),All Ages,Weight Loss,Cardio,Upper,Bodyweight,Beginner,Lumbar stiffness / restricted spinal mobility,3,12–15,6–7,30–45 sec,Supports thoracic extension and shoulder mobility during reaching movements,"1. Stand with feet hip-width apart and bring hands up near your chin.
2. Rotate your torso and punch diagonally upward with one arm while extending the other for balance.
3. Retract the punch and repeat with the opposite arm.",Maintain controlled movement and proper alignment throughout,3.5,None
Scapular Wall Slides (Face Wall),40-59,Weight Maintenance,Mobility,Upper,Bodyweight,Beginner,Lumbar stiffness / restricted spinal mobility,3,8–12,6–8,45–60 sec,Improves scapular upward rotation and shoulder blade control,"1. Stand facing a wall and place forearms on the wall at shoulder height.
2. Press your forearms into the wall and draw your shoulder blades down and together.
3. Slide your forearms upward along the wall as high as comfortable while keeping contact.
4. Lower your forearms back to the starting position with control.",Keep forearms and wrists contacting the wall and initiate movement from the scapulae,2.5,None
Standing Bicep Stretch (Wall),60+,Weight Gain,Flexibility / Stretching,Upper,Bodyweight,Beginner,Lumbar stiffness / restricted spinal mobility,3,3–5,6–7,30–45 sec,Enhances biceps and anterior shoulder flexibility for improved range,"1. Stand beside a wall and place the palm of the nearest hand on the wall at shoulder height.
2. Rotate your torso away from the wall to feel a stretch along the front of the upper arm.
3. Hold the stretch and then return to the starting position.",Keep the chest open and avoid shrugging the shoulder as you lean into the stretch,4,None
Knee Raise Hold,All Ages,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Beginner,Lumbar stiffness / restricted spinal mobility,3,6–10,7–8,60–90 sec,Builds hip flexor endurance and core stability during isometric hold,"1. Stand tall and engage your core.
2. Lift one knee up to hip level and hold it there with control.
3. Maintain balance while holding the knee at hip height.",Maintain a neutral pelvis and engage the lower abs to prevent lumbar arching,3,"Hypertension, Coronary Artery Disease"
Plank Shoulder Taps (Knees),40-59,Weight Loss,Strength,Core,Bodyweight,Beginner,Lumbar stiffness / restricted spinal mobility,3,12–20,6–8,30–60 sec,Improves core stability and shoulder coordination,"1. Assume a kneeling plank with hands under shoulders and knees on the ground.
2. Brace your core and keep hips stable and square.
3. Lift one hand and tap the opposite shoulder while avoiding hip rotation.
4. Return the hand and repeat on the other side in a controlled rhythm.",Keep hips level and core braced while tapping each shoulder,3,"Hypertension, Coronary Artery Disease"
Fly Jacks (No Jump),60+,Weight Loss,Cardio,Full,Bodyweight,Beginner,Lumbar stiffness / restricted spinal mobility,3,15–25,6–7,30–45 sec,Enhances shoulder mobility and low impact cardiovascular activity,"1. Stand feet together with arms at your sides.
2. Step one foot out to the side while sweeping both arms out and overhead.
3. Step the same foot back to center while lowering arms to your sides.
4. Repeat the movement alternating sides at a steady pace.",Maintain a neutral spine and control the arm sweep through the full range,4.5,None
Neck Protraction/Retraction,All Ages,Weight Maintenance,Mobility,Upper,Bodyweight,Beginner,Lumbar stiffness / restricted spinal mobility,2,10–15,6–7,15–30 sec,Improves neck mobility and posture alignment,"1. Sit or stand tall with shoulders relaxed and eyes forward.
2. Push your chin straight forward without tilting the head.
3. Pull your chin straight back to align the ears over the shoulders and repeat.",Keep the chin slightly tucked and perform slow controlled neck protraction and retraction,4,None
Seated Adductor Stretch (V-sit),40-59,Weight Gain,Flexibility / Stretching,Lower,Bodyweight,Beginner,Lumbar stiffness / restricted spinal mobility,3,2–3,6–7,30–60 sec,Increases inner thigh flexibility and hip range of motion,"1. Sit on the floor and open your legs into a wide V with toes pointing up.
2. Sit tall and hinge forward from the hips with a flat back.
3. Reach both hands toward one foot while keeping the opposite leg active.
4. Return to center and repeat the reach toward the other side.",Sit tall with a long spine and hinge forward from the hips,2,None
Tightrope Stand,60+,Weight Maintenance,Balance & Stability,Full,Bodyweight,Beginner,Lumbar stiffness / restricted spinal mobility,3,6–10,6–7,30–45 sec,Enhances single leg balance and ankle proprioception,"1. Stand tall and place one foot directly in front of the other, heel to toe.
2. Lift your arms out to the sides and focus on a fixed point.
3. Shift weight slowly forward and backward to challenge balance.
4. Switch lead foot and repeat the sequence.","Keep hips level, gaze steady, and engage the core to control balance",2,Sarcopenia
Single Leg Glute Bridge,All Ages,Weight Gain,Strength,Lower,Bodyweight,Beginner,Lumbar stiffness / restricted spinal mobility,3,8–12,7–8,60–90 sec,Builds unilateral glute strength and pelvic stability,"1. Lie on your back with one knee bent and the other leg extended straight.
2. Press through the heel of the bent leg and lift your hips until your body forms a straight line.
3. Squeeze the glute of the supporting leg at the top.
4. Lower hips back down with control and repeat before switching legs.","Drive through the heel, keep hips level, and squeeze the glute at the top",3,None
Side-to-Side Hops (Small),40-59,Weight Loss,Cardio,Full,Bodyweight,Beginner,Lumbar stiffness / restricted spinal mobility,3,20–30,7–8,60–90 sec,Improves lateral agility and ankle stability,"1. Stand with feet hip-width apart and knees slightly bent.
2. Hop a small distance to the right, landing softly on both feet with knees bent.
3. Immediately hop the same small distance to the left and continue alternating.",Land softly with knees slightly bent and control each lateral hop,5.5,"Obesity / Overweight, Osteoarthritis, Osteoporosis, Hypothyroidism"
Ankle Plantar/Dorsiflexion,60+,Weight Maintenance,Mobility,Lower,Bodyweight,Beginner,Lumbar stiffness / restricted spinal mobility,3,12–20,6–7,15–30 sec,Improves ankle mobility and range of motion,"1. Sit or lie down with the leg extended and the foot relaxed.
2. Point your toes away from you to perform plantarflexion.
3. Pull your toes back toward your shin to perform dorsiflexion and repeat.",Control the motion and move the foot deliberately while keeping the lower leg stable,4,None
Pretzel Stretch (Seated),All Ages,Weight Maintenance,Flexibility / Stretching,Lower,Bodyweight,Beginner,Lumbar stiffness / restricted spinal mobility,2,2–3,6–7,30–60 sec,Enhances spinal rotation and hip flexibility,"1. Sit with one leg bent and the other leg crossed over so the ankle rests near the opposite knee.
2. Hug the crossed knee and sit tall to lengthen the spine.
3. Rotate your torso toward the crossed leg using your hands for gentle leverage.
4. Release the twist, switch sides, and repeat.",Keep the spine long and rotate from the thorax while avoiding lower back rounding,2,None
Leg Swing (Lateral),40-59,Weight Gain,Balance & Stability,Lower,Bodyweight,Beginner,Lumbar stiffness / restricted spinal mobility,2,10–15,6–7,15–30 sec,Promotes hip dynamic flexibility and movement preparation,"1. Stand beside a wall and place one hand lightly on it for balance.
2. Swing the outside leg across your body and then out to the side in a controlled arc.
3. Maintain an upright torso and repeat, then switch legs.",Maintain an upright torso and control the swing from the hip,2.8,None
Curtsy Squat (Assisted),60+,Weight Gain,Strength,Lower,Bodyweight,Beginner,Lumbar stiffness / restricted spinal mobility,3,8–12,7–8,60–90 sec,Strengthens glutes and improves single leg stability,"1. Stand tall with feet hip-width and hold onto a stable support.
2. Step one leg diagonally behind the other into a curtsy position.
3. Lower into a squat by bending both knees while keeping chest upright.
4. Push through the front heel to return to start and repeat on the other side.",Keep chest lifted and ensure the front knee tracks over the toes,3,"Obesity / Overweight, Osteoarthritis"
Fast Feet (In Place),All Ages,Weight Loss,Cardio,Lower,Bodyweight,Beginner,Lumbar stiffness / restricted spinal mobility,3,20–30,7–8,30–45 sec,Enhances foot speed and agility,"1. Stand with knees slightly bent and hands on hips.
2. Quickly lift and lower each foot in rapid alternating taps.
3. Keep a light rhythm and stay on the balls of your feet.",Stay light on your feet with a slight bend in the knees,6,None
Standing Pelvic Tilt,40-59,Weight Maintenance,Mobility,Core,Bodyweight,Beginner,Lumbar stiffness / restricted spinal mobility,3,10–15,6–7,30–45 sec,Improves pelvic alignment and core engagement,"1. Stand with feet hip-width and soften the knees.
2. Tuck the tailbone under and contract the lower abdominal muscles.
3. Release back to neutral and repeat with controlled movements.",Engage lower abs and keep ribs stacked over hips,2.8,None
Standing Lateral Line Stretch,60+,Weight Loss,Flexibility / Stretching,Core,Bodyweight,Beginner,Lumbar stiffness / restricted spinal mobility,2,10–12,6–7,30–45 sec,Increases lateral flexibility and trunk mobility,"1. Stand tall with feet shoulder-width and reach one arm overhead.
2. Lean to the opposite side until a stretch is felt along the side body.
3. Hold briefly, return to center, and repeat on the other side.",Keep hips stacked and reach through the top arm to lengthen the side body,2,None
Balance Beam Walk (Imaginary),All Ages,Weight Maintenance,Balance & Stability,Full,Bodyweight,Beginner,Lumbar stiffness / restricted spinal mobility,3,10–20,6–7,30–60 sec,Enhances proprioception and walking balance,"1. Pretend a straight line on the floor and place one foot directly in front of the other.
2. Keep eyes forward, shoulders relaxed, and arms out for balance.
3. Take slow, deliberate steps placing heel to toe each time.
4. Continue across the line and turn carefully by stepping to the side.","Fix your gaze ahead and walk with a tall, controlled posture",2.5,Sarcopenia
Bear Crawl Hold (Knees Hover),40-59,Weight Gain,Strength,Core,Bodyweight,Beginner,Lumbar stiffness / restricted spinal mobility,3,20–30,7–8,60–90 sec,Builds shoulder stability and core endurance,"1. Start on hands and toes with hips low and knees hovering just above the floor.
2. Spread fingers, press into the ground, and keep the core engaged.
3. Hold the position while breathing steadily for the desired time.",Keep shoulders over wrists and maintain a neutral spine while hovering knees,3.5,"Hypertension, Coronary Artery Disease"
Standing Knee Drives,60+,Weight Loss,Cardio,Core,Bodyweight,Beginner,Lumbar stiffness / restricted spinal mobility,3,10–15,7–8,30–45 sec,Improves hip flexor activation and running mechanics,"1. Stand tall with feet hip-width and engage your core.
2. Drive one knee up toward the chest using the hip flexors.
3. Lower the foot back down with control and repeat on the other side.",Drive the knee up with control while keeping the torso upright and core braced,4,None
Seated Rib Cage Shift,All Ages,Weight Maintenance,Mobility,Core,Bodyweight,Beginner,Lumbar stiffness / restricted spinal mobility,3,8–12,6–7,30–45 sec,Enhances rib cage mobility and postural alignment,"1. Sit upright with feet flat and hands resting on the rib cage.
2. Gently shift the rib cage to one side without moving the hips.
3. Return to center and repeat the movement to the other side.",Stabilize the pelvis and shift the rib cage without shrugging the shoulders,2.5,None
Wrist Extension Stretch,40-59,Weight Gain,Flexibility / Stretching,Upper,Bodyweight,Beginner,Lumbar stiffness / restricted spinal mobility,2,20–30,6–7,30–45 sec,Increases wrist flexibility and range of motion,"1. Extend one arm in front with palm facing down.
2. Use the opposite hand to gently pull the fingers back toward the forearm.
3. Hold the stretch and then switch to the other wrist.",Support the forearm and gently extend the wrist with controlled pressure,4,None
Single Leg Calf Raise (Hold),60+,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Beginner,Lumbar stiffness / restricted spinal mobility,3,8–12,7–8,60–90 sec,Strengthens calf muscles and improves ankle stability,"1. Stand tall near a support and lift one foot off the ground.
2. Rise onto the ball of the standing foot by pushing through the calf.
3. Hold the top position for the prescribed time while keeping balance.
4. Lower the heel with control and repeat on the other leg.",Keep the supporting knee slightly bent and raise the heel with ankle control,3,"Hypertension, Coronary Artery Disease, Sarcopenia"
Prone T-Raises,All Ages,Weight Gain,Strength,Upper,Bodyweight,Beginner,Lumbar stiffness / restricted spinal mobility,3,12–15,6–7,30–45 sec,Improves posterior shoulder strength and scapular stability,"1. Lie face down on a mat with arms extended out to the sides at shoulder level.
2. Lift both arms off the ground while squeezing the shoulder blades together.
3. Hold the raised position for 1–2 seconds.
4. Lower the arms slowly back to the mat.",Keep spine neutral and retract the shoulder blades as you raise the arms,2.8,None
Woodchoppers (Slow),40-59,Weight Loss,Cardio,Core,Bodyweight,Beginner,Lumbar stiffness / restricted spinal mobility,3,8–12,7–8,45–60 sec,Enhances trunk rotational control and core stability,"1. Stand with feet shoulder-width apart and hold a weight with both hands by one shoulder.
2. Rotate your torso and slowly bring the weight diagonally down across the body toward the opposite hip.
3. Pause and keep the movement controlled.
4. Reverse the path slowly back to the start position.",Rotate from the hips and keep the core braced throughout the chop,2.5,"Osteoporosis, Chronic Low Back Pain"
Arm Swings (Horizontal),60+,Weight Maintenance,Mobility,Upper,Bodyweight,Beginner,Lumbar stiffness / restricted spinal mobility,2,15–20,6–7,15–30 sec,Increases shoulder mobility and upper body movement readiness,"1. Stand tall with feet hip-width and arms extended straight out at shoulder height.
2. Swing both arms together across the chest until the elbows meet or cross.
3. Swing the arms back out to the sides with control.",Keep chest up and control the swing with your shoulders and core,2.6,None
Soleus Stretch (Wall),All Ages,Weight Gain,Flexibility / Stretching,Lower,Bodyweight,Beginner,Lumbar stiffness / restricted spinal mobility,3,20–30,6–7,30–60 sec,Improves ankle flexibility and calf muscle length,"1. Stand facing a wall and place both hands on the wall at shoulder height.
2. Step one foot back with the knee bent and press the back heel into the floor.
3. Hold the stretch and switch sides.",Bend the back knee and press the heel down to feel the soleus stretch,4,None
Airplane Hold (Supported),40-59,Weight Loss,Balance & Stability,Full,Bodyweight,Beginner,Lumbar stiffness / restricted spinal mobility,3,20–30,7–8,60–90 sec,Enhances single leg balance and posterior chain engagement,"1. Stand beside a chair and place one hand on the chair for support.
2. Hinge at the hip and lift the back leg until your torso and raised leg form a straight line.
3. Extend the free arm out to the side for balance.
4. Hold the position and keep the supporting knee slightly bent.","Hinge at the hips, maintain a flat back and control your balance using the support",2,"Hypertension, Coronary Artery Disease"
Side Lunge (Stationary),60+,Weight Gain,Strength,Lower,Bodyweight,Beginner,Lumbar stiffness / restricted spinal mobility,3,8–12,7–8,60–90 sec,Strengthens lateral hip muscles and improves side to side mobility,"1. Stand with feet wider than hip-width and hands at chest level.
2. Shift your weight to one leg and push your hips back as you bend that knee into a lateral lunge.
3. Keep the other leg straight and both feet flat on the floor.
4. Drive through the bent foot to return to center and repeat on the other side.",Maintain controlled movement and proper alignment throughout,4.5,None
Skier Swings,All Ages,Weight Loss,Cardio,Full,Bodyweight,Beginner,Lumbar stiffness / restricted spinal mobility,3,12–15,7–8,45–60 sec,Improves dynamic hip power and coordination during lateral movements,"1. Stand with feet hip-width and hinge slightly at the hips with knees soft.
2. Swing both arms and the hips together from side to side like carving turns.
3. Keep the core engaged and control each swing.","Soften the knees, hinge from the hips and control each swing with deliberate tempo",5,None
Seated Hip Prying,40-59,Weight Maintenance,Mobility,Lower,Bodyweight,Beginner,Lumbar stiffness / restricted spinal mobility,3,8–10,6–7,30–45 sec,Increases hip joint mobility and improves deep squat range,"1. Sit on the edge of a chair with one foot flat on the floor and the other knee bent and open.
2. Place your elbow or hand against the inside of the raised knee.
3. Gently press outward while leaning slightly forward to increase the movement.
4. Release and switch sides.","Sit tall, brace the core and drive the knee outward with controlled movement",2.8,None
Neck Extensor Stretch,60+,Weight Maintenance,Flexibility / Stretching,Upper,Bodyweight,Beginner,Lumbar stiffness / restricted spinal mobility,2,20–30,6–7,30–60 sec,Improves posterior neck flexibility and reduces neck stiffness,"1. Sit or stand tall and interlace your fingers at the base of your skull.
2. Gently tuck your chin and guide your head forward with your hands.
3. Hold the stretch and breathe normally.",Tuck the chin slightly and gently lengthen the back of the neck without forcing,2,None
Flamingo Stand,All Ages,Weight Gain,Balance & Stability,Lower,Bodyweight,Beginner,Lumbar stiffness / restricted spinal mobility,3,20–30,7–9,60–90 sec,Develops single leg balance and ankle proprioception,"1. Stand tall and shift your weight onto one foot.
2. Bend the opposite knee and lift the foot to touch the standing calf or ankle.
3. Keep the hips level and hold the balance.","Find a fixed gaze, keep hips level and engage the standing leg for steady balance",4,"Hypertension, Sarcopenia"
Split Squat (Supported),40-59,Weight Gain,Strength,Lower,Bodyweight,Beginner,Lumbar stiffness / restricted spinal mobility,3,8–12,7–8,60–90 sec,Enhances unilateral leg strength and balance,"1. Place your front foot forward and set your rear foot on a stable support or slightly behind.
2. Hold a support with one hand and keep your torso upright.
3. Lower your hips until the front thigh is about parallel to the floor.
4. Push through the front heel to return to the start.",Keep core braced and torso upright during the descent,3.5,"Osteoarthritis, Obesity / Overweight"
Step-Back Jacks,60+,Weight Loss,Cardio,Full,Bodyweight,Beginner,Lumbar stiffness / restricted spinal mobility,3,20–30,6–7,30–45 sec,Boosts cardiovascular fitness and coordination while promoting hip mobility,"1. Stand tall with feet together and arms at your sides.
2. Step one foot back into a small lunge while sweeping your arms overhead.
3. Step the foot back to center and lower your arms.
4. Repeat on the opposite side in a steady rhythm.",Land softly with knees slightly bent and maintain a tall spine,4.5,"Obesity / Overweight, Osteoarthritis, Osteoporosis, Hypothyroidism"
Thoracic Wall Rotation,All Ages,Weight Maintenance,Mobility,Upper,Bodyweight,Beginner,Lumbar stiffness / restricted spinal mobility,3,8–12,6–7,30–45 sec,Increases thoracic mobility and rotational range of motion,"1. Stand perpendicular to a wall and place your forearm on the wall at chest height.
2. Keep your hips facing forward and rotate your torso away from the wall.
3. Hold the rotated position briefly then return and repeat on the other side.",Rotate through the thoracic spine while keeping hips and pelvis still,2,None
Kneeling Lunge Stretch,40-59,Weight Gain,Flexibility / Stretching,Lower,Bodyweight,Beginner,Lumbar stiffness / restricted spinal mobility,3,6–8,6–7,30–60 sec,Improves hip flexor and quadriceps flexibility,"1. Kneel with one knee on the floor and the other foot planted forward.
2. Tuck your pelvis under and shift your hips forward until you feel a stretch in the front of the kneeling hip.
3. Keep your chest upright and hold the position.
4. Return to neutral and switch sides.",Tuck the pelvis and hinge from the hips to control the stretch,2,None
Supine Chin Tucks,All Ages,Weight Maintenance,Mobility,Upper,Bodyweight,Beginner,Neck Pain,3,10–15,6–7,30–45 sec,Strengthens deep neck flexors and improves neck posture,"1. Lie on your back with knees bent and feet flat on the floor.
2. Gently tuck your chin toward your chest without lifting your head from the surface.
3. Hold the tucked position briefly, then relax and repeat.",Retract the chin slowly while keeping the head on the floor,4,None
Donkey Kicks,40-59,Weight Gain,Strength,Lower,Bodyweight,Beginner,Neck Pain,3,12–15,7–8,45–60 sec,Activates glute muscles and enhances hip stability,"1. Start on hands and knees with shoulders over wrists and hips over knees.
2. Keep the knee bent and lift one leg up toward the ceiling by contracting the glute.
3. Squeeze at the top while maintaining a neutral spine.
4. Lower the knee back to the starting position and repeat on the other side.",Hinge at the hip and drive the heel up while maintaining a neutral spine,3,None
Seal Jacks (Step Out),60+,Weight Loss,Cardio,Full,Bodyweight,Beginner,Neck Pain,3,15–20,6–8,30–60 sec,Increases cardiovascular endurance while improving shoulder mobility and coordination,"1. Stand with feet together and hands at chest level.
2. Step your right foot out wide while moving your arms outward and clap in front of your chest.
3. Step feet back together and return your arms to chest level; repeat alternating sides.",Step with control and keep your chest lifted to avoid spinal rotation,4.5,"Obesity / Overweight, Osteoporosis, Hypothyroidism"
Upper Trapezius Stretch,All Ages,Weight Maintenance,Flexibility / Stretching,Upper,Bodyweight,Beginner,Neck Pain,3,6–8,6–7,30–60 sec,Relieves neck and shoulder tension and improves range of motion,"1. Sit or stand tall and place one hand behind your back.
2. Use your free hand to gently guide your head toward the opposite shoulder.
3. Hold the stretch, then release and repeat on the other side.",Keep the shoulder down and tilt the head away to lengthen the upper neck,4,None
Tandem Walk (Reverse),40-59,Weight Maintenance,Balance & Stability,Full,Bodyweight,Beginner,Neck Pain,3,10–12,6–7,45–60 sec,Challenges balance and proprioception while enhancing ankle and hip control,"1. Stand tall and place one foot directly behind the other in a heel-to-toe position.
2. Slowly take a controlled step backward onto the heel of the rear foot while keeping your gaze steady.
3. Continue slow heel-to-toe steps backward for the desired distance, then switch starting foot.",Take slow controlled steps with hips level and core engaged,2,Sarcopenia
Isometric Neck Extension (Hand Resist),60+,Weight Gain,Strength,Upper,Bodyweight,Beginner,Neck Pain,3,6–8,7–8,60–90 sec,Strengthens posterior neck muscles and enhances neck endurance,"1. Sit or stand tall and place both hands on the back of your head.
2. Attempt to push your head backward while resisting the movement with your hands to create tension.
3. Hold the isometric contraction for the target time, then relax.",Maintain a neutral spine and press gently into resistance without moving the head,2,"Hypertension, Coronary Artery Disease"
Fire Hydrants,All Ages,Weight Loss,Strength,Lower,Bodyweight,Beginner,Neck Pain,3,12–15,6–7,30–60 sec,Strengthens hip abductors and enhances lateral pelvic stability,"1. Start on all fours with hands under shoulders and knees under hips.
2. Keep the knee bent and lift one knee out to the side to hip height.
3. Squeeze the outer glute at the top.
4. Lower the knee back under control to the start position.",Keep core braced and pelvis stable as you lift the leg,3,None
Butt Kicks (Marching),40-59,Weight Loss,Cardio,Lower,Bodyweight,Beginner,Neck Pain,2,30–60,6–7,30–45 sec,Activates hamstrings while improving lower limb coordination and rhythmic movement,"1. Stand tall with feet hip-width and core engaged.
2. March in place, lifting each heel toward the same-side glute.
3. Pump the opposite arm and keep a light, controlled rhythm.","Stand tall, keep core engaged, and control each knee drive to avoid bouncing",3,None
Seated Levator Scapulae Stretch,60+,Weight Gain,Flexibility / Stretching,Upper,Bodyweight,Beginner,Neck Pain,3,30–45,6–7,30–60 sec,Increases neck lateral flexibility and relieves upper shoulder tightness,"1. Sit tall with feet flat and back straight.
2. Rotate the head slightly toward the opposite shoulder.
3. Tilt the chin down toward the chest and into the armpit.
4. Use the same-side hand to gently pull the head deeper and hold.",Maintain controlled movement and proper alignment throughout,2,None
Stork Stance (Eyes Open),All Ages,Weight Gain,Balance & Stability,Lower,Bodyweight,Beginner,Neck Pain,3,20–30,6–7,30–60 sec,Enhances single leg balance and ankle proprioception,"1. Stand tall and shift weight onto one foot.
2. Lift the other foot and place it against the inner calf or ankle.
3. Keep eyes open, hips level, and hold the balance.","Stand on one leg with hips level, a soft standing knee, and a steady gaze",2.3,"Hypertension, Coronary Artery Disease"
Standing Core Stabilization (Pallof),40-59,Weight Maintenance,Strength,Core,Bodyweight,Beginner,Neck Pain,3,8–12,7–8,60–90 sec,Builds anti rotation core strength and improves trunk stability,"1. Stand side-on to the band or cable anchor with feet hip-width.
2. Hold the handle at chest height with both hands and elbows bent.
3. Press the handle straight out and resist rotation with the core.
4. Pull the handle back to the chest with control and repeat.",Maintain controlled movement and proper alignment throughout,3,"Hypertension, Coronary Artery Disease"
Side Shuffles (Slow Pace),60+,Weight Loss,Cardio,Full,Bodyweight,Beginner,Neck Pain,3,20–30,6–7,30–60 sec,Improves lateral agility and strengthens hip abductors with low impact conditioning,"1. Start in an athletic stance with knees slightly bent.
2. Take a slow lateral step with one foot followed by the trailing foot.
3. Keep a low center of gravity and use short, controlled steps.",Maintain controlled movement and proper alignment throughout,4.5,None
Thoracic Extension (Chair Back),All Ages,Weight Maintenance,Mobility,Upper,Bodyweight,Beginner,Neck Pain,3,10–15,6–7,30–60 sec,Increases upper back mobility and promotes improved thoracic posture,"1. Sit tall and place the chair back at mid-upper back level.
2. Interlace fingers behind the head and keep elbows wide.
3. Lean back over the chair top to extend the upper spine.
4. Return to upright with control and repeat.",Maintain controlled movement and proper alignment throughout,4,None
Standing Hamstring Stretch (Heel Prop),40-59,Weight Gain,Flexibility / Stretching,Lower,Bodyweight,Beginner,Neck Pain,2,30–45,6–7,30–60 sec,Enhances hamstring flexibility and improves posterior chain lengthening,"1. Place one heel on a low step or raised surface with the toe up.
2. Keep the standing leg slightly bent and hinge at the hips.
3. Reach toward the raised toe with a long spine and hold the stretch.",Maintain controlled movement and proper alignment throughout,2,None
Clock Reach (Toe Tap Only),60+,Weight Loss,Balance & Stability,Lower,Bodyweight,Beginner,Neck Pain,3,8–12,6–8,30–60 sec,Improves multidirectional single leg balance and movement awareness,"1. Stand on one leg with the other knee slightly bent.
2. Tap the toe to a chosen clock position (for example 12, 3, 6, 9) with control.
3. Return the toe to center after each tap.
4. Repeat taps across the selected clock positions.",Maintain controlled movement and proper alignment throughout,3,None
Prone Cobra (Arms at Sides),All Ages,Weight Gain,Strength,Upper,Bodyweight,Beginner,Neck Pain,3,10–15,7–8,60–90 sec,Strengthens posterior shoulder and back muscles to support improved spinal alignment,"1. Lie face down with arms resting alongside the body and palms down.
2. Squeeze glutes and lift the chest slightly while keeping the neck neutral.
3. Hold the lifted position briefly, then lower with control.",Maintain controlled movement and proper alignment throughout,2,None
Step-Ups (Low Step),40-59,Weight Loss,Strength,Lower,Bodyweight,Beginner,Neck Pain,3,8–12,6–7,60–90 sec,Improves lower body strength and functional stair climbing ability,"1. Stand tall facing a low step with feet hip-width apart.
2. Step up onto the step with one foot and press through the heel to lift the body.
3. Lower the trailing foot back down with control and repeat on the other side.",Drive through the heel of the foot on the step and keep hips level,3.5,None
Lateral Step-Ups,60+,Weight Maintenance,Cardio,Lower,Bodyweight,Beginner,Neck Pain,3,8–12,6–8,60–90 sec,Strengthens hip abductors and lateral stability during side-to-side movements,"1. Stand sideways beside a low step with feet hip-width apart.
2. Step up laterally onto the step with the nearest foot and press through the heel.
3. Lower the other foot back down with control and repeat on the opposite side.",Keep torso upright and ensure the stepping knee tracks over the toes,3.8,None
Neck Lateral Flexion (Active),All Ages,Weight Gain,Mobility,Upper,Bodyweight,Beginner,Neck Pain,3,10–15,6–7,30–45 sec,Enhances neck lateral mobility and range of motion,"1. Sit or stand tall with shoulders relaxed and eyes forward.
2. Tilt the head toward one shoulder using neck muscles to bring the ear closer to the shoulder.
3. Hold the lateral tilt while keeping the opposite shoulder down.
4. Return to neutral and repeat on the other side.",Maintain controlled movement and proper alignment throughout,4,None
