Exercise Name,Age Suitability,Goal,Primary Category,Body Region,Equipments,Fitness Level,Physical Limitations,Sets,Reps,RPE,Rest intervals,Health benefit,Steps to perform,Safety cue,MET value,is_not_suitable_for,Tags
Band Russian Twist,Weight Loss,Strength,Core,Resistance Band,Beginner,Lower back pain (non-specific),3,12–20,6–8,30–60 sec,Strengthens obliques and improves trunk rotation control,"1. Sit on the floor with knees bent and feet flat, loop the band around your feet, and hold the ends with both hands.
2. Lean back slightly and lift your feet a few inches off the floor to engage the core.
3. Rotate your torso and hands to one side, moving the band across your body.
4. Return to center and rotate to the opposite side in a controlled motion.",Keep spine tall and rotate from the ribs with controlled movement,3,"Osteoporosis, Chronic Low Back Pain"
Band Pull Apart,Weight Loss,Strength,Upper,Resistance Band,Beginner,Shoulder pain (general),3,12–15,5–7,30–60 sec,Improves shoulder girdle stability and scapular retraction strength,"1. Stand tall with feet hip-width apart and hold the band at chest height with hands shoulder-width apart.
2. Pull your hands outward, keeping arms straight and squeezing your shoulder blades together.
3. Slowly return your hands to the starting position with control.",Retract shoulder blades and lead with elbows to avoid shrugging,2.8,None
Band Donkey Kick,Weight Loss,Strength,Lower,Resistance Band,Beginner,Lower back pain (non-specific),3,12–15,5–7,30–60 sec,Activates and strengthens the glute muscles to enhance hip extension power,"1. Start on hands and knees and loop the band under your hands and around the sole of one foot.
2. Brace your core and drive that foot upward, keeping the knee bent at about 90 degrees.
3. Squeeze the glute at the top without arching the lower back.
4. Lower the foot back to the starting position with control.",Keep hips square and kick with glute control without arching low back,2.4,None
Band Step-Back to Chest Press,Weight Loss,Strength,Full,Resistance Band,Beginner,Limited single-leg balance,3,8–12,7–8,60–90 sec,Combines unilateral lower body stabilization with chest pressing to improve functional pushing strength,"1. Anchor the band behind you at chest height and hold the handles at chest level with elbows bent.
2. Step one foot back into a split stance while keeping your torso upright.
3. Press the handles forward to extend your arms until they are straight.
4. Return to the starting position and repeat, then switch legs.",Maintain upright torso and brace core as you step back and press,4.5,"Osteoarthritis, Obesity / Overweight"
Band Dead Bug,Weight Loss,Strength,Core,Resistance Band,Beginner,Reduced core stability,3,8–12,5–7,30–60 sec,Enhances deep core stability and coordination for improved spinal support,"1. Lie on your back with knees bent to 90 degrees and loop the band around both feet, holding the ends in your hands extended toward the ceiling.
2. Slowly lower one arm and the opposite leg toward the floor while maintaining tension on the band.
3. Return to the center and repeat the movement on the other side with controlled motion.",Press low back into the floor and move limbs slowly with exhale,2.3,Sleep Apnea
Band Shoulder Press,Weight Gain,Strength,Upper,Resistance Band,Beginner,Limited overhead reach,3,8–12,7–8,60–90 sec,Improves shoulder strength and overhead stability,"1. Stand with feet shoulder-width apart and the middle of the resistance band under both feet.
2. Hold the band handles at shoulder height with palms facing forward and elbows bent.
3. Press both hands upward until arms are nearly straight overhead.
4. Lower the handles back to shoulder height with control.",Keep ribs down and shoulders away from ears while pressing with control,3.5,Hypertension
Band Fire Hydrant,Weight Gain,Strength,Lower,Resistance Band,Beginner,Hip stiffness / limited hip mobility,3,12–15,5–7,30–60 sec,Enhances glute activation and hip stability,"1. Place a loop band around your thighs just above the knees and come to hands and knees.
2. Keep your core tight and spine neutral.
3. Lift one knee out to the side to hip level while keeping the knee bent at 90 degrees.
4. Lower the knee back under control and repeat on the other side.",Keep hips square and core braced as you lift the knee to the side,2.6,None
Band Squat with Side Leg Lift,Weight Gain,Strength,Full,Resistance Band,Beginner,Limited single-leg balance,3,10–15,7–8,60–90 sec,Builds lower body strength and lateral hip control,"1. Place a loop band above your knees and stand with feet hip-width apart.
2. Sit back into a squat by pushing hips back and bending knees until thighs are parallel to the floor.
3. Stand up and shift weight onto one leg, lifting the other leg out to the side to hip height.
4. Return the lifted leg to neutral and repeat the squat on the next rep.",Maintain chest up weight in heels and control the lateral lift,4.3,"Osteoarthritis, Obesity / Overweight"
Band Plank Tap,Weight Gain,Strength,Core,Resistance Band,Beginner,Reduced core stability,3,10–20,6–8,30–60 sec,Increases core endurance and shoulder stability,"1. Wrap a thin band around both wrists and come into a high plank position with hands under shoulders.
2. Brace your core and keep hips steady.
3. Lift one hand to tap the opposite shoulder while maintaining a stable plank.
4. Return the hand to the floor and alternate taps with the other hand.",Keep hips level and core tight while tapping hands with controlled reach,3.8,"Hypertension, Coronary Artery Disease"
Band Lateral Raise,Weight Gain,Strength,Upper,Resistance Band,Beginner,Rotator cuff weakness / instability,3,10–15,6–8,45–60 sec,Strengthens shoulder abductors and improves shoulder mobility,"1. Stand on the center of the resistance band with feet shoulder-width apart and hold a handle in each hand at your sides.
2. Keep a slight bend in your elbows and palms facing down.
3. Raise both arms out to the sides to shoulder level with control.
4. Slowly lower the arms back to your sides.",Hinge slightly from shoulders keep elbows soft and lift with scapular control,3,None
Band Seated Leg Extension,Weight Gain,Strength,Lower,Resistance Band,Beginner,Knee pain (general / chronic),3,10–15,6–8,45–60 sec,Targets quadriceps strength and knee joint control,"1. Sit upright on a chair with feet flat and the band looped around one ankle and anchored under the chair leg.
2. Grip the sides of the chair and brace your core.
3. Extend the banded leg forward until the knee is straight.
4. Slowly return the leg to the starting position and repeat.",Sit tall and brace core as you extend leg slowly,2.3,None
Band Curtsy Lunge to Lateral Raise,Weight Gain,Strength,Full,Resistance Band,Beginner,Limited single-leg balance,3,8–12,7–9,60–90 sec,Combines lower body balance with shoulder and hip coordination,"1. Stand tall with feet hip-width and a resistance band under both feet, holding the handles at your sides.
2. Step one leg diagonally behind into a curtsy and lower into a lunge.
3. As you push back to standing, lift both arms out to the sides to shoulder height.
4. Lower the arms and return feet to start, then repeat on the other side.",Keep chest upright and step slowly to protect knee alignment,4.5,"Osteoarthritis, Obesity / Overweight"
Band Bicycle Crunch,Weight Gain,Strength,Core,Resistance Band,Beginner,Reduced core stability,3,15–20,6–8,30–60 sec,Engages obliques and improves rotational core strength,"1. Lie on your back with knees bent and the band looped around the soles of your feet, holding the ends in your hands.
2. Lift your head and shoulders and bring one elbow toward the opposite knee while extending the other leg.
3. Switch sides in a controlled pedaling motion while keeping tension in the band.",Keep lower back grounded and rotate from ribs with control,3,None
Band Front Raise,Weight Gain,Strength,Upper,Resistance Band,Beginner,Rotator cuff weakness / instability,3,10–12,6–8,45–60 sec,Develops anterior shoulder strength and improves scapular control,"1. Stand on the band with feet hip-width and hold the handles in front of your thighs with palms facing down.
2. Keeping a slight bend in your elbows, lift your hands forward to shoulder height.
3. Lower the handles slowly to the starting position and repeat.",Lead with shoulders down and lift slowly without swinging,3,None
Band Prone Leg Curl,Weight Gain,Strength,Lower,Resistance Band,Beginner,Knee pain (general / chronic),3,10–15,6–8,45–60 sec,Strengthens hamstrings and enhances posterior chain activation,"1. Lie face down on a mat with the band anchored at a low point and looped around your ankles.
2. Keep your hips pressed into the mat and bend your knees to curl your heels toward your glutes.
3. Squeeze your hamstrings at the top and hold briefly.
4. Slowly lower your legs to the starting position and repeat.",Keep hips pressed down and curl heels toward glutes with control,2.3,None
Band Woodchopper Lunge,Weight Gain,Strength,Full,Resistance Band,Beginner,Limited single-leg balance,3,8–12,7–9,60–90 sec,Improves rotational core strength and lower body power,"1. Anchor a resistance band at a high point and grasp the handles with both hands.
2. Step into a split stance with the front knee bent and the band held high to the outside of the front foot.
3. Drive through the front heel to rise and pull the band diagonally across your body toward the opposite hip.
4. Return to the lunge position while controlling the band back to the start.",Keep chest tall and rotate from the torso not the knees,5,"Osteoporosis, Chronic Low Back Pain"
Band Kneeling Crunch,Weight Gain,Strength,Core,Resistance Band,Beginner,Reduced core stability,3,12–15,6–8,30–60 sec,Enhances core strength and abdominal control,"1. Anchor a band overhead and kneel facing away while holding the ends behind your head.
2. Brace your core and curl your torso forward, bringing your elbows toward your knees.
3. Slowly return to the upright kneeling position while maintaining band tension.",Tuck ribcage and exhale to engage abs as you crunch,2.6,None
Band Face Pull,Weight Gain,Strength,Upper,Resistance Band,Beginner,Rotator cuff weakness / instability,3,12–15,6–8,60–90 sec,Promotes scapular stability and upper back muscle balance,"1. Anchor the band at face height and grab the ends with an overhand or neutral grip.
2. Step back to create tension and pull your hands toward your face, leading with your elbows flared out.
3. Squeeze your shoulder blades together, then slowly extend your arms to return.",Pull bands toward your face with elbows high and scapula retracted,3.5,None
Band Standing Hip Abduction,Weight Gain,Strength,Lower,Resistance Band,Beginner,Limited single-leg balance,3,12–15,7–9,45–60 sec,Improves hip abductor strength and lateral pelvic stability,"1. Loop a mini band around both ankles and stand tall with feet hip-width apart.
2. Shift weight onto the support leg and lift the other leg straight out to the side without leaning.
3. Control the band as you lower the leg back to the starting position.",Keep hips level and move slowly controlling the band resistance,3,None
Band Glute Bridge Chest Press,Weight Gain,Strength,Full,Resistance Band,Beginner,Reduced core stability,3,8–12,7–9,60–90 sec,Simultaneously strengthens glutes and chest while enhancing posterior chain engagement,"1. Lie on your back with knees bent and feet flat, and loop the band under your feet while holding the ends at chest level.
2. Drive through your heels and lift your hips into a glute bridge while simultaneously pressing the band straight up from your chest.
3. Squeeze your glutes and keep your core engaged at the top.
4. Slowly lower your hips and bring your hands back to chest level with control.",Squeeze glutes press through heels and maintain a neutral spine,4,None
Band Side Bend,Weight Gain,Strength,Core,Resistance Band,Beginner,Lower back pain (non-specific),3,12–15,6–8,30–60 sec,Increases lateral trunk strength and improves side bending control,"1. Stand with feet hip-width apart.
2. Secure one end of the band under the same-side foot and hold the other end overhead with that hand.
3. Keep hips square and bend at the waist toward the anchored foot.
4. Drive through your oblique to return upright and repeat.",Keep ribs stacked over hips and hinge only at the waist,2.55,None
Band Tricep Kickback,Weight Gain,Strength,Upper,Resistance Band,Beginner,Elbow pain,3,10–12,7–9,45–60 sec,Develops triceps strength and improves elbow extension control,"1. Stand with feet hip-width apart and place the band under one foot.
2. Hinge at the hips and bend the elbow so the upper arm is aligned with your torso.
3. Extend the elbow straight back until the arm is fully extended.
4. Bend the elbow to return to start and repeat.",Keep elbow pinned to side and extend forearm with controlled motion,2.8,None
Band Standing Hip Extension,Weight Gain,Strength,Lower,Resistance Band,Beginner,Hip stiffness / limited hip mobility,3,12–15,7–9,45–60 sec,Enhances hip extensor strength and supports posterior chain activation,"1. Anchor the band low behind you and loop the free end around your ankle.
2. Stand tall on the opposite leg with a slight forward lean.
3. Extend the banded leg straight back until the hip is fully extended, then return under control.",Stand tall and squeeze glute to extend hip without arching lower back,3.4,None
Band Bear Crawl,Weight Gain,Strength,Full,Resistance Band,Beginner,Reduced core stability,3,20–30 seconds,7–9,60–90 sec,"Builds core stability, shoulder endurance, and coordinated full body movement","1. Loop a band around your waist and secure the other end to a low anchor behind you.
2. Start in a bear crawl position with hands under shoulders and knees hovering off the floor.
3. Move opposite hand and foot forward while resisting the band pull.
4. Maintain a flat back and controlled steps as you crawl.",Brace your core and move slowly keeping spine long and hips level,6,Cognitive Decline / Dementia
Band Anti-Rotation Hold,Weight Gain,Strength,Core,Resistance Band,Beginner,Reduced core stability,3,20–30 seconds,6–8,30–60 sec,Strengthens anti rotation core stability and enhances bracing control,"1. Anchor the band at chest height and stand perpendicular to the anchor.
2. Hold the band with both hands at your chest and step away to create tension.
3. Press the band straight out and hold, resisting rotation.",Brace core and press away from anchor to resist rotation while breathing,2.98,"Hypertension, Coronary Artery Disease"
Band External Rotation,Weight Maint.,Strength,Upper,Resistance Band,Beginner,Rotator cuff weakness / instability,3,12–15,5–7,30–60 sec,Enhances shoulder external rotator strength and stability,"1. Attach the band to a stable anchor at elbow height or hold one end.
2. Stand side-on and bend your elbow to 90°, keeping the upper arm against your side.
3. Rotate your forearm away from your body until comfortable, keeping the elbow tucked.
4. Return slowly to the start position under control.",Keep elbow tucked at side and rotate slowly with controlled scapular retraction,2,None
Band Monster Walk,Weight Maint.,Strength,Lower,Resistance Band,Beginner,Limited single-leg balance,3,12–20,6–8,30–60 sec,Builds hip abductor strength and lateral stability,"1. Place the band around your ankles or just above your knees and stand with feet hip-width.
2. Sink into a shallow squat and brace your core.
3. Step diagonally forward with one foot, then follow with the other, keeping the band taut.
4. Continue stepping while maintaining the squat and steady band tension.","Keep a slight squat, step sideways with constant tension and knees tracking toes",3,None
Band Squat to Front Raise,Weight Maint.,Strength,Full,Resistance Band,Beginner,Reduced core stability,3,8–12,6–8,60–90 sec,Combines lower body strengthening with shoulder anterior control and coordination,"1. Stand on the band with feet shoulder-width and hold the ends at thigh level.
2. Sit back into a squat until your hips reach roughly knee level.
3. Stand up and lift the banded hands straight in front of you to shoulder height.
4. Lower the arms and return to the squat with control.","Brace core, sit back into hips and raise arms maintaining a neutral spine",4.5,None
Band Lying Leg Lower,Weight Maint.,Strength,Core,Resistance Band,Beginner,Lower back pain (non-specific),3,10–15,6–8,30–60 sec,Improves lower abdominal control and core stability,"1. Lie on your back and loop the band around your feet while holding the ends near your hips.
2. Raise both legs straight up toward the ceiling with knees extended.
3. Lower your legs slowly toward the floor until just above the ground.
4. Pull the legs back up to vertical using your core while keeping your lower back pressed to the floor.",Press lower back into the mat and lower legs slowly with controlled core,2.3,None
Band Upright Row,Weight Maint.,Strength,Upper,Resistance Band,Beginner,Rotator cuff weakness / instability,3,8–12,7–8,60–90 sec,Enhances upper back and shoulder pulling strength,"1. Stand on the band with feet hip-width and hold the ends with palms facing your body.
2. Keep your chest up and pull the band upward along your midline toward your chin.
3. Lead the movement with your elbows and keep the band close to your body.
4. Lower the hands back down under control to the starting position.","Lead with elbows, lift hands to chest height and avoid shrugging shoulders",3,None
Band Static Lunge,Weight Maint.,Strength,Lower,Resistance Band,Beginner,Knee pain (general / chronic),3,8–12,7–8,60–90 sec,Develops single leg strength and balance control,"1. Place the resistance band under your front foot and hold the ends at shoulder height.
2. Step into a split stance with the back heel lifted and hips square.
3. Bend both knees and lower the back knee toward the floor while keeping your torso upright.
4. Press through the front heel to return to the start position and repeat.",Keep front knee aligned over ankle and torso upright,3.4,"Hypertension, Coronary Artery Disease"
Band Low-Impact Step Jack,Weight Maint.,Strength,Full,Resistance Band,Beginner,Limited single-leg balance,3,15–20,5–7,30–60 sec,Increases low-impact cardiovascular fitness and lateral movement coordination,"1. Loop a mini band around both thighs just above the knees and stand with feet hip-width apart.
2. Step your right foot out to the side to create band tension and push your knees outward.
3. Step the right foot back to center, then step the left foot out and repeat the pattern.",Land softly and maintain a neutral spine with controlled movements,4.1,None
Band Mountain Climber,Weight Maint.,Strength,Core,Resistance Band,Beginner,Reduced core stability,3,20–30,7–8,30–60 sec,Improves core endurance and shoulder stability while elevating heart rate,"1. Secure a band around both feet and assume a high plank with hands under shoulders.
2. Brace your core and draw your right knee toward your chest against the band tension.
3. Return the right foot to plank and drive the left knee toward your chest.
4. Alternate legs in a controlled, steady rhythm while keeping hips level.",Brace core and keep hips level with shoulders stacked over wrists,5.1,None
Band Chest Fly,Weight Maint.,Strength,Upper,Resistance Band,Beginner,Rotator cuff weakness / instability,3,8–12,7–8,60–90 sec,Strengthens chest muscles and promotes scapular control,"1. Anchor the band behind you at chest height and hold the handles with a slight bend in the elbows.
2. Step forward to create tension and position your feet hip-width apart.
3. Squeeze your chest to bring your hands together in front of your chest, then return slowly.",Keep a slight bend in elbows and retract shoulder blades,3.5,None
Band Calf Raise,Weight Maint.,Strength,Lower,Resistance Band,Beginner,Ankle pain,3,12–20,6–8,30–60 sec,Builds calf strength and improves ankle stability,"1. Stand on the band with feet hip-width and hold the ends or handles at shoulder level.
2. Shift your weight onto the balls of your feet and lift your heels as high as possible.
3. Lower your heels slowly back to the ground and repeat.",Rise through midfoot with slow controlled motion and maintain upright posture,2.7,None
Band Plank Step-Out,Weight Maint.,Strength,Full,Resistance Band,Beginner,Reduced core stability,3,10–15,6–8,30–60 sec,Enhances core stability and lateral hip strength,"1. Loop a resistance band around your ankles and assume a forearm plank with elbows under shoulders.
2. Brace your core and keep your hips level.
3. Step one foot laterally against the band's tension while maintaining a stable plank.
4. Step the foot back and repeat the step-out with the other foot in a controlled rhythm.",Maintain flat back and braced core as feet step wide and together,3,"Hypertension, Coronary Artery Disease"
Band Bird Dog,Weight Maint.,Strength,Core,Resistance Band,Beginner,Reduced core stability,3,8–12,5–7,30–60 sec,Improves core coordination and glute activation,"1. Loop a band around one hand and the opposite foot and kneel on hands and knees.
2. Brace your core and keep a neutral spine.
3. Extend the banded arm forward while extending the opposite leg back until both are straight.
4. Return both limbs under control and repeat on the other side.",Keep neutral spine and move limbs slowly avoiding rotation,2.4,None
Band Reverse Fly,Weight Maint.,Strength,Upper,Resistance Band,Beginner,Rotator cuff weakness / instability,3,12–15,6–8,45–75 sec,Strengthens upper back muscles and improves shoulder posture,"1. Stand on the center of a band with feet hip-width and hold the ends in each hand, hinge slightly forward.
2. Pull the band outward by squeezing your shoulder blades and keeping a slight bend in the elbows.
3. Slowly return to the start with control and repeat.",Hinge from hips slightly and squeeze shoulder blades together,3,None
Band Good Morning,Weight Maint.,Strength,Lower,Resistance Band,Beginner,Lower back pain (non-specific),3,8–12,6–8,60–90 sec,Activates posterior chain and trains hip hinge mechanics,"1. Stand on a band with feet shoulder-width and place the other end across the back of your shoulders, holding it in place.
2. Hinge at the hips with a soft knee bend and a flat back, pushing your hips back until your torso is angled forward.
3. Drive your hips forward to return to standing while keeping tension on the band.",Hinge at hips with neutral spine and soft knees,3,"Osteoporosis, Chronic Low Back Pain"
Band Split Squat with Row,Weight Maint.,Strength,Full,Resistance Band,Beginner,Limited single-leg balance,3,8–12,7–8,60–90 sec,Builds single leg stability while strengthening upper back pulling muscles,"1. Stand with one foot forward and one foot back, stepping on the band with the front foot and holding the ends in both hands.
2. Lower into a split squat by bending both knees until the back knee nears the ground and the front thigh is parallel.
3. Pull the band toward your ribcage by squeezing your shoulder blades to perform a row.
4. Extend your arms and press through the front heel to stand back up and repeat on the other side.",Keep torso upright and weight centered while squeezing shoulder blades during each row,4.5,Osteoarthritis
Band Bridge March,Weight Maint.,Strength,Core,Resistance Band,Beginner,Limited single-leg balance,3,12–15,6–8,30–60 sec,Improves glute endurance and challenges core stability through dynamic marching,"1. Lie on your back with knees bent, feet flat, and the band looped just above your knees.
2. Press through your heels and lift your hips into a bridge, squeezing your glutes.
3. Lift one knee toward your chest while keeping your hips level and the band engaged.
4. Lower that foot back down and repeat by lifting the other knee in alternation.",Maintain a neutral spine and squeeze glutes before each march,3,Sleep Apnea
Band Shrugs,Weight Maint.,Strength,Upper,Resistance Band,Beginner,Neck pain,3,12–15,6–8,45–60 sec,Strengthens upper trapezius and supports shoulder elevation control,"1. Stand with feet shoulder-width apart and the band under both feet, holding the handles at your sides.
2. Keep your arms straight and torso tall, then lift your shoulders straight up toward your ears.
3. Pause and squeeze the upper traps at the top of the movement.
4. Lower your shoulders back down with control to the starting position.",Draw shoulders down and back as you lift with controlled motion,2.8,None
Band Romanian Deadlift,Weight Maint.,Strength,Lower,Resistance Band,Beginner,Lower back pain (non-specific),3,8–12,7–9,90–120 sec,Develops hamstring strength and reinforces proper hip hinge mechanics,"1. Stand on the band with feet hip-width apart and hold the band ends with palms facing your thighs.
2. Slightly bend your knees and hinge at the hips, pushing them back while keeping your spine flat.
3. Lower your torso until you feel a stretch in your hamstrings while maintaining tension in the band.
4. Drive your hips forward to return to standing and squeeze your glutes at the top.",Hinge from hips with a flat spine and soft knee to load hamstrings,3.4,Hypertension
Band Sumo Squat to High Pull,Weight Maint.,Strength,Full,Resistance Band,Beginner,Hip stiffness / limited hip mobility,3,10–12,7–9,60–90 sec,Combines lower body power with upper pulling for full body coordination,"1. Stand with feet wider than hip-width and toes slightly turned out, with the band under both feet and hands holding the ends between your legs.
2. Squat down by bending your knees and pushing your hips back, keeping your chest up and knees tracking your toes.
3. Explode up from the squat and pull the band up toward your chest with elbows flared high.
4. Lower your hands back between your legs and descend into the next squat.",Push knees out keep chest up and explode through hips into the pull,5,Osteoarthritis
Band Torso Rotation,Weight Maint.,Strength,Core,Resistance Band,Beginner,Thoracic stiffness (upper-back rigidity),3,10–15,5–7,30–60 sec,Improves rotational core strength and thoracic mobility,"1. Anchor the band at chest height or hold it with both hands extended in front of you while standing with feet shoulder-width apart.
2. Keep your hips stable and core engaged, then rotate your torso away from the anchor or band end.
3. Pause briefly at the end range while maintaining controlled tension on the band.
4. Rotate back to center and repeat the movement to the opposite side.",Anchor hips rotate thoracic spine and control the movement with slow tempo,3,"Chronic Low Back Pain, Osteoporosis"
Band Speed Chest Press,Weight Loss,Cardio,Upper,Resistance Band,Beginner,Shoulder pain (general),3,8–12,6–8,45–60 sec,Improves upper body power and neuromuscular coordination,"1. Anchor the band behind you at chest height and hold the handles with both hands.
2. Step forward into the band to create tension with a staggered stance.
3. Press both hands explosively forward until arms are almost straight.
4. Return the hands to chest level with control and repeat at a fast pace.",Brace your core and maintain scapular stability during each press,4.5,None
Band Seated Leg Taps,Weight Loss,Cardio,Lower,Resistance Band,Beginner,Hip stiffness / limited hip mobility,3,12–15,6–8,30–45 sec,Improves lower limb muscular endurance and hip mobility,"1. Sit on the floor with legs extended and loop the band around the soles of your feet.
2. Lean back slightly to engage your core and hold the band ends in your hands.
3. Lower one heel to tap the floor, lift it back, and alternate legs in a steady rhythm.",Sit tall with neutral spine and control each leg tap from the hip,2.5,None
Band Step Jacks,Weight Loss,Cardio,Full,Resistance Band,Beginner,Ankle instability / recurrent sprains,3,20–30,7–9,30–45 sec,Enhances aerobic capacity and lateral coordination,"1. Place a loop band around your ankles and stand with feet together and knees soft.
2. Step your right foot out to the side while raising your arms to shoulder height.
3. Step your left foot back to the start and bring your arms down.
4. Continue alternating sides in a controlled, jack-like motion.",Land softly keep knees aligned over toes and maintain upright posture,5,None
Band Standing Knee Drive,Weight Loss,Cardio,Core,Resistance Band,Beginner,Limited single-leg balance,3,10–15,7–9,30–45 sec,Develops hip flexor power and improves balance,"1. Anchor the band low behind you and loop it around one ankle.
2. Stand tall facing away with the support foot planted and hips squared.
3. Drive the banded knee up toward your chest with a strong contraction.
4. Lower the knee with control and repeat, then switch sides.",Drive knee with controlled hip flexion while keeping chest tall and core engaged,4.5,None
Band Seated Boxing,Weight Loss,Cardio,Upper,Resistance Band,Beginner,Shoulder pain (general),3,20–30,6–8,30–45 sec,Improves upper body endurance and hand eye coordination,"1. Sit on a chair and loop the band around your upper back, holding the handles at chest level.
2. Sit tall with your core engaged and elbows bent.
3. Extend one arm forward in a punch while rotating your torso slightly.
4. Return the hand to the start and punch with the opposite arm in a steady rhythm.",Sit tall rotate through torso and exhale sharply with each punch,3,None
Band Lateral Shuffle,Weight Loss,Cardio,Lower,Resistance Band,Beginner,Ankle instability / recurrent sprains,3,20,7–8,45–60 sec,Enhances lateral agility and lower body stability,"1. Loop a resistance band around your legs just above the knees.
2. Bend your knees and lower into an athletic stance.
3. Shuffle sideways with small, quick steps while keeping the band taut.
4. Maintain chest up and repeat the shuffle in the opposite direction.",Keep chest up and hips level while stepping laterally with controlled cadence,4.7,None
Band Skier Swings,Weight Loss,Cardio,Full,Resistance Band,Beginner,Knee injury (ACL / meniscus / post-surgery),3,12–15,7–9,45–60 sec,Improves rotational power and whole body coordination,"1. Stand on a loop band with feet shoulder-width and hold the ends in both hands.
2. Hinge slightly at the hips and bend your knees into a soft athletic stance.
3. Swing both arms and the band across your body from side to side in a controlled, explosive motion.
4. Keep your core braced and let your feet follow the upper-body rotation.",Hinge slightly at hips maintain tall posture and absorb impact through knees,6,None
Band Seated Torso Twist,Weight Loss,Cardio,Core,Resistance Band,Beginner,Thoracic stiffness (upper-back rigidity),3,10–15,6–8,30–45 sec,Increases trunk rotational mobility and core engagement,"1. Sit with knees bent and feet flat, looping a resistance band around the soles of your feet.
2. Hold the band with both hands at chest height and brace your core.
3. Rotate your torso to one side, pulling the band across your body with control.
4. Return to center and repeat to the other side while keeping your hips stable.",Sit tall brace core and rotate through thoracic spine not lower back,2.7,"Osteoporosis, Chronic Low Back Pain"
Band Overhead Speed Pulses,Weight Loss,Cardio,Upper,Resistance Band,Beginner,Limited overhead reach,3,15–20,6–8,45–60 sec,Boosts shoulder endurance and overhead pressing speed,"1. Stand with feet hip-width and hold a resistance band overhead with hands slightly wider than shoulder width.
2. Press the band overhead until your arms are extended and your core is braced.
3. Perform quick, small pulses by slightly lowering and raising the band while keeping your arms extended.
4. Keep your shoulders down and move at a fast, controlled tempo.",Keep ribs down and shoulders packed pulse with stable core,4.2,Hypertension
Band Fast Feet,Weight Loss,Cardio,Lower,Resistance Band,Beginner,Limited single-leg balance,3,20–30,8–9,30–60 sec,Improves foot quickness and neuromuscular coordination for agility,"1. Place a loop band around your ankles and stand in an athletic stance.
2. Stay on the balls of your feet and slightly bend your knees.
3. Quickly march or run in place with short, rapid steps while keeping tension on the band.
4. Maintain an upright torso and quick, controlled foot contacts.",Stay light on your toes maintain tall chest and quick controlled steps,5.1,None
Band Low Impact Thruster,Weight Loss,Cardio,Full,Resistance Band,Beginner,Limited overhead reach,3,8–12,7–8,60–90 sec,Builds lower body and shoulder endurance while improving coordination,"1. Stand on the band with feet shoulder-width and hold the handles at shoulder level.
2. Hinge hips back and lower into a shallow squat with chest up.
3. Drive through your heels to stand while pressing the handles overhead.
4. Lower the band back to shoulder level and repeat.",Brace core and drive through heels as you press overhead,5.5,Hypertension
Band Bicycle Crunches (Fast),Weight Loss,Cardio,Core,Resistance Band,Beginner,Lower back pain (non-specific),3,20–30,7–8,30–45 sec,Enhances core endurance and dynamic trunk stability,"1. Lie on your back with the band looped around your feet and hold the ends in your hands.
2. Lift your head and shoulders and bring one knee toward your chest while twisting the opposite elbow toward that knee.
3. Alternate legs rapidly in a bicycle motion while keeping tension on the band.",Keep lower back pressed to the mat and control each rotation,3.8,None
Band Speed Rows,Weight Loss,Cardio,Upper,Resistance Band,Beginner,Rotator cuff weakness / instability,3,40–60,7–8,45–60 sec,Strengthens upper back and improves posture,"1. Stand on the band and hinge slightly at the hips with a flat back.
2. Pull the handles quickly toward your ribs while squeezing your shoulder blades together.
3. Extend your arms back under control and repeat at a fast pace.","Hinge from hips, retract shoulder blades and avoid shrugging",6,None
Band Supported High Knees,Weight Loss,Cardio,Lower,Resistance Band,Beginner,Limited single-leg balance,3,12–15,7–9,30–45 sec,Boosts cardiovascular fitness while engaging hip flexors and coordination,"1. Anchor the band behind you at waist height and loop it around your hips.
2. Stand tall and drive one knee up toward hip level while keeping a slight forward lean.
3. Alternate knees quickly while maintaining steady band tension and an upright torso.",Land softly with tall chest and engage core on each knee drive,5.8,"Obesity, Hypothyroidism"
Band Speed Squats,Weight Loss,Cardio,Full,Resistance Band,Beginner,Knee pain (general / chronic),3,15–20,7–8,60–90 sec,Develops lower body power and muscular endurance,"1. Stand on the band with feet hip-width and hold the handles at shoulder level.
2. Sit back into a quick squat with hips moving down and back.
3. Drive up explosively through your heels while extending your hips.
4. Return to squat depth and repeat rapidly.","Send hips back, chest upright and control the descent",5.5,None
Band Plank Jacks,Weight Loss,Cardio,Core,Resistance Band,Beginner,Reduced core stability,3,12–20,7–8,30–45 sec,Challenges core stability while increasing heart rate and coordination,"1. Place a resistance band around your ankles and get into a high plank with hands under shoulders.
2. Jump both feet out wide against the band tension and land softly.
3. Jump both feet back together while keeping hips level and core engaged.
4. Repeat the jack rhythmically without letting your hips sag.",Keep hips level and core braced as legs move,5.1,None
Band Diagonal Pull Aparts,Weight Loss,Cardio,Upper,Resistance Band,Beginner,Shoulder pain (general),3,12–15,5–7,30–60 sec,Improves shoulder mobility and upper back strength,"1. Hold a resistance band with both hands shoulder-width apart and extend your arms diagonally across your body.
2. Pull your hands apart by retracting the shoulder blades and moving the arms outward along the diagonal.
3. Squeeze the upper back at end range while keeping the arms straight.
4. Control the band as you return to the starting diagonal position.",Retract shoulder blades and keep chest lifted during the diagonal pull,3.5,None
